#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:20:07.459,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of LED: Range: 500 mV/div Offset: 0 V,,
#voltage of transistor: Range: 5 V/div Offset: 0 V,,
,,
Time (s),voltage of LED (V),voltage of transistor (V)
-0.52475,1.42136,9.68883
-0.5245,1.42136,9.68883
-0.52425,1.42136,9.68883
-0.524,1.42136,9.68883
-0.52375,1.42136,9.68883
-0.5235,1.42136,9.68883
-0.52325,1.42136,9.68883
-0.523,1.42136,9.68883
-0.52275,1.42136,9.68883
-0.5225,1.42136,9.69259
-0.52225,1.42136,9.69259
-0.522,1.42136,9.69259
-0.52175,1.42136,9.69259
-0.5215,1.42136,9.69259
-0.52125,1.42136,9.69259
-0.521,1.42136,9.69259
-0.52075,1.42136,9.69259
-0.5205,1.42136,9.69259
-0.52025,1.42136,9.69259
-0.52,1.42136,9.69634
-0.51975,1.42136,9.69634
-0.5195,1.42136,9.69634
-0.51925,1.42136,9.69634
-0.519,1.42136,9.69634
-0.51875,1.42136,9.69634
-0.5185,1.42136,9.69634
-0.51825,1.42136,9.69634
-0.518,1.42136,9.69634
-0.51775,1.42136,9.7001
-0.5175,1.42136,9.69634
-0.51725,1.42136,9.7001
-0.517,1.42136,9.7001
-0.51675,1.42136,9.7001
-0.5165,1.42136,9.7001
-0.51625,1.42136,9.7001
-0.516,1.42136,9.7001
-0.51575,1.42136,9.7001
-0.5155,1.42136,9.7001
-0.51525,1.42136,9.70385
-0.515,1.42136,9.70385
-0.51475,1.42136,9.70385
-0.5145,1.42136,9.70385
-0.51425,1.42136,9.70385
-0.514,1.42136,9.70385
-0.51375,1.42136,9.70385
-0.5135,1.42136,9.70385
-0.51325,1.42136,9.70761
-0.513,1.42136,9.70761
-0.51275,1.42136,9.70761
-0.5125,1.42136,9.70761
-0.51225,1.42136,9.70761
-0.512,1.42136,9.70761
-0.51175,1.42136,9.70761
-0.5115,1.42169,9.71137
-0.51125,1.42169,9.71137
-0.511,1.42136,9.71137
-0.51075,1.42169,9.71137
-0.5105,1.42169,9.71137
-0.51025,1.42136,9.71137
-0.51,1.42136,9.71137
-0.50975,1.42136,9.71137
-0.5095,1.42136,9.71137
-0.50925,1.42136,9.71137
-0.509,1.42136,9.71512
-0.50875,1.42169,9.71137
-0.5085,1.42136,9.71512
-0.50825,1.42136,9.71512
-0.508,1.42136,9.71512
-0.50775,1.42136,9.71512
-0.5075,1.42169,9.71512
-0.50725,1.42169,9.71512
-0.507,1.42136,9.71512
-0.50675,1.42136,9.71888
-0.5065,1.42169,9.71888
-0.50625,1.42169,9.71888
-0.506,1.42169,9.71888
-0.50575,1.42169,9.71888
-0.5055,1.42169,9.71888
-0.50525,1.42136,9.71888
-0.505,1.42169,9.71888
-0.50475,1.42136,9.72264
-0.5045,1.42169,9.72264
-0.50425,1.42136,9.72264
-0.504,1.42136,9.72264
-0.50375,1.42169,9.72264
-0.5035,1.42169,9.72264
-0.50325,1.42169,9.72264
-0.503,1.42136,9.72264
-0.50275,1.42136,9.72264
-0.5025,1.42169,9.72639
-0.50225,1.42169,9.72264
-0.502,1.42136,9.72264
-0.50175,1.42169,9.72639
-0.5015,1.42169,9.72639
-0.50125,1.42169,9.72639
-0.501,1.42169,9.72639
-0.50075,1.42169,9.72639
-0.5005,1.42169,9.72639
-0.50025,1.42136,9.72639
-0.5,1.42136,9.72639
-0.49975,1.42169,9.72639
-0.4995,1.42169,9.73015
-0.49925,1.42169,9.73015
-0.499,1.42169,9.73015
-0.49875,1.42136,9.73015
-0.4985,1.42169,9.73015
-0.49825,1.42169,9.73015
-0.498,1.42136,9.73015
-0.49775,1.42169,9.73015
-0.4975,1.42169,9.73015
-0.49725,1.42136,9.73015
-0.497,1.42136,9.73015
-0.49675,1.42169,9.73391
-0.4965,1.42169,9.73391
-0.49625,1.42169,9.73391
-0.496,1.42169,9.73391
-0.49575,1.42169,9.73391
-0.4955,1.42169,9.73391
-0.49525,1.42169,9.73391
-0.495,1.42169,9.73391
-0.49475,1.42169,9.73391
-0.4945,1.42169,9.73766
-0.49425,1.42169,9.73766
-0.494,1.42169,9.73766
-0.49375,1.42169,9.73391
-0.4935,1.42136,9.73766
-0.49325,1.42169,9.73766
-0.493,1.42136,9.73766
-0.49275,1.42169,9.73766
-0.4925,1.42169,9.73766
-0.49225,1.42169,9.73766
-0.492,1.42169,9.73766
-0.49175,1.42169,9.73766
-0.4915,1.42169,9.73766
-0.49125,1.42169,9.74142
-0.491,1.42169,9.74142
-0.49075,1.42169,9.74142
-0.4905,1.42169,9.74142
-0.49025,1.42136,9.74142
-0.49,1.42169,9.74142
-0.48975,1.42169,9.74142
-0.4895,1.42169,9.74142
-0.48925,1.42169,9.74142
-0.489,1.42169,9.74142
-0.48875,1.42136,9.74142
-0.4885,1.42169,9.74142
-0.48825,1.42169,9.74518
-0.488,1.42169,9.74518
-0.48775,1.42169,9.74518
-0.4875,1.42169,9.74518
-0.48725,1.42169,9.74518
-0.487,1.42169,9.74518
-0.48675,1.42169,9.74518
-0.4865,1.42169,9.74518
-0.48625,1.42169,9.74893
-0.486,1.42169,9.74893
-0.48575,1.42169,9.74893
-0.4855,1.42169,9.74893
-0.48525,1.42169,9.74893
-0.485,1.42169,9.74893
-0.48475,1.42169,9.74893
-0.4845,1.42169,9.74893
-0.48425,1.42169,9.74893
-0.484,1.42169,9.74893
-0.48375,1.42169,9.75269
-0.4835,1.42169,9.75269
-0.48325,1.42169,9.75269
-0.483,1.42169,9.75269
-0.48275,1.42169,9.75269
-0.4825,1.42169,9.75269
-0.48225,1.42169,9.75269
-0.482,1.42169,9.75269
-0.48175,1.42169,9.75645
-0.4815,1.42169,9.75645
-0.48125,1.42169,9.75645
-0.481,1.42169,9.75645
-0.48075,1.42169,9.75645
-0.4805,1.42169,9.75645
-0.48025,1.42169,9.75645
-0.48,1.42169,9.75645
-0.47975,1.42169,9.75645
-0.4795,1.42169,9.75645
-0.47925,1.42169,9.7602
-0.479,1.42169,9.75645
-0.47875,1.42169,9.7602
-0.4785,1.42169,9.7602
-0.47825,1.42169,9.7602
-0.478,1.42169,9.7602
-0.47775,1.42169,9.7602
-0.4775,1.42169,9.7602
-0.47725,1.42169,9.7602
-0.477,1.42169,9.7602
-0.47675,1.42169,9.76396
-0.4765,1.42169,9.76396
-0.47625,1.42169,9.76396
-0.476,1.42169,9.76396
-0.47575,1.42169,9.76396
-0.4755,1.42169,9.76396
-0.47525,1.42169,9.76396
-0.475,1.42169,9.76396
-0.47475,1.42169,9.76396
-0.4745,1.42169,9.76772
-0.47425,1.42169,9.76772
-0.474,1.42169,9.76772
-0.47375,1.42169,9.76772
-0.4735,1.42169,9.76772
-0.47325,1.42169,9.76772
-0.473,1.42169,9.76772
-0.47275,1.42169,9.76772
-0.4725,1.42169,9.76772
-0.47225,1.42169,9.77147
-0.472,1.42169,9.77147
-0.47175,1.42169,9.77147
-0.4715,1.42169,9.77147
-0.47125,1.42169,9.77147
-0.471,1.42203,9.77147
-0.47075,1.42169,9.77147
-0.4705,1.42169,9.77147
-0.47025,1.42169,9.77147
-0.47,1.42169,9.77147
-0.46975,1.42169,9.77147
-0.4695,1.42169,9.77147
-0.46925,1.42169,9.77523
-0.469,1.42203,9.77523
-0.46875,1.42169,9.77523
-0.4685,1.42169,9.77523
-0.46825,1.42169,9.77523
-0.468,1.42169,9.77523
-0.46775,1.42169,9.77523
-0.4675,1.42203,9.77523
-0.46725,1.42203,9.77899
-0.467,1.42169,9.77523
-0.46675,1.42169,9.77899
-0.4665,1.42169,9.77899
-0.46625,1.42169,9.77899
-0.466,1.42169,9.77899
-0.46575,1.42203,9.77899
-0.4655,1.42169,9.77899
-0.46525,1.42169,9.77899
-0.465,1.42169,9.77899
-0.46475,1.42169,9.78274
-0.4645,1.42203,9.78274
-0.46425,1.42203,9.78274
-0.464,1.42169,9.78274
-0.46375,1.42203,9.78274
-0.4635,1.42169,9.78274
-0.46325,1.42203,9.78274
-0.463,1.42169,9.78274
-0.46275,1.42169,9.78274
-0.4625,1.42203,9.7865
-0.46225,1.42169,9.7865
-0.462,1.42169,9.7865
-0.46175,1.42203,9.7865
-0.4615,1.42203,9.7865
-0.46125,1.42203,9.7865
-0.461,1.42203,9.7865
-0.46075,1.42203,9.7865
-0.4605,1.42169,9.7865
-0.46025,1.42203,9.79026
-0.46,1.42203,9.7865
-0.45975,1.42203,9.79026
-0.4595,1.42203,9.79026
-0.45925,1.42203,9.79026
-0.459,1.42203,9.79026
-0.45875,1.42203,9.79026
-0.4585,1.42203,9.79026
-0.45825,1.42203,9.79026
-0.458,1.42203,9.79026
-0.45775,1.42203,9.79026
-0.4575,1.42203,9.79026
-0.45725,1.42203,9.79401
-0.457,1.42203,9.79026
-0.45675,1.42203,9.79401
-0.4565,1.42203,9.79401
-0.45625,1.42203,9.79401
-0.456,1.42169,9.79401
-0.45575,1.42203,9.79401
-0.4555,1.42203,9.79777
-0.45525,1.42203,9.79401
-0.455,1.42203,9.79777
-0.45475,1.42203,9.79777
-0.4545,1.42203,9.79777
-0.45425,1.42203,9.79777
-0.454,1.42203,9.79777
-0.45375,1.42203,9.79777
-0.4535,1.42203,9.79777
-0.45325,1.42203,9.79777
-0.453,1.42203,9.79777
-0.45275,1.42169,9.79777
-0.4525,1.42169,9.79777
-0.45225,1.42203,9.80153
-0.452,1.42203,9.80153
-0.45175,1.42203,9.80153
-0.4515,1.42203,9.80153
-0.45125,1.42203,9.80153
-0.451,1.42203,9.80153
-0.45075,1.42203,9.80153
-0.4505,1.42203,9.80528
-0.45025,1.42203,9.80528
-0.45,1.42203,9.80528
-0.44975,1.42203,9.80528
-0.4495,1.42203,9.80528
-0.44925,1.42203,9.80528
-0.449,1.42203,9.80528
-0.44875,1.42203,9.80528
-0.4485,1.42203,9.80904
-0.44825,1.42203,9.80904
-0.448,1.42203,9.80528
-0.44775,1.42203,9.80904
-0.4475,1.42203,9.80528
-0.44725,1.42203,9.80904
-0.447,1.42203,9.80904
-0.44675,1.42203,9.80904
-0.4465,1.42203,9.8128
-0.44625,1.42203,9.80904
-0.446,1.42203,9.8128
-0.44575,1.42203,9.8128
-0.4455,1.42203,9.8128
-0.44525,1.42169,9.8128
-0.445,1.42203,9.8128
-0.44475,1.42203,9.8128
-0.4445,1.42203,9.8128
-0.44425,1.42203,9.8128
-0.444,1.42203,9.8128
-0.44375,1.42203,9.81655
-0.4435,1.42203,9.81655
-0.44325,1.42203,9.8128
-0.443,1.42203,9.81655
-0.44275,1.42203,9.81655
-0.4425,1.42203,9.81655
-0.44225,1.42203,9.81655
-0.442,1.42203,9.81655
-0.44175,1.42203,9.81655
-0.4415,1.42203,9.81655
-0.44125,1.42203,9.81655
-0.441,1.42203,9.81655
-0.44075,1.42203,9.82031
-0.4405,1.42203,9.82031
-0.44025,1.42203,9.82031
-0.44,1.42203,9.82031
-0.43975,1.42203,9.82407
-0.4395,1.42203,9.82031
-0.43925,1.42203,9.82407
-0.439,1.42203,9.82407
-0.43875,1.42203,9.82031
-0.4385,1.42203,9.82407
-0.43825,1.42203,9.82407
-0.438,1.42203,9.82407
-0.43775,1.42203,9.82407
-0.4375,1.42203,9.82407
-0.43725,1.42203,9.82407
-0.437,1.42203,9.82407
-0.43675,1.42203,9.82782
-0.4365,1.42203,9.82782
-0.43625,1.42203,9.82407
-0.436,1.42203,9.82782
-0.43575,1.42203,9.82782
-0.4355,1.42203,9.82782
-0.43525,1.42203,9.82782
-0.435,1.42203,9.82782
-0.43475,1.42169,9.82782
-0.4345,1.42203,9.83158
-0.43425,1.42203,9.83158
-0.434,1.42203,9.83158
-0.43375,1.42203,9.83158
-0.4335,1.42203,9.83158
-0.43325,1.42203,9.83158
-0.433,1.42203,9.83158
-0.43275,1.42203,9.83158
-0.4325,1.42203,9.83158
-0.43225,1.42203,9.83158
-0.432,1.42203,9.83534
-0.43175,1.42203,9.83534
-0.4315,1.42203,9.83158
-0.43125,1.42203,9.83534
-0.431,1.42203,9.83534
-0.43075,1.42203,9.83534
-0.4305,1.42203,9.83534
-0.43025,1.42236,9.83534
-0.43,1.42203,9.83534
-0.42975,1.42203,9.83534
-0.4295,1.42203,9.83534
-0.42925,1.42203,9.83909
-0.429,1.42203,9.83909
-0.42875,1.42203,9.83909
-0.4285,1.42203,9.83909
-0.42825,1.42203,9.83909
-0.428,1.42236,9.83909
-0.42775,1.42203,9.83909
-0.4275,1.42203,9.83909
-0.42725,1.42203,9.83909
-0.427,1.42203,9.83909
-0.42675,1.42203,9.83909
-0.4265,1.42203,9.84285
-0.42625,1.42203,9.83909
-0.426,1.42203,9.84285
-0.42575,1.42203,9.84285
-0.4255,1.42203,9.84285
-0.42525,1.42203,9.84285
-0.425,1.42236,9.84285
-0.42475,1.42203,9.84285
-0.4245,1.42236,9.84285
-0.42425,1.42203,9.84285
-0.424,1.42203,9.84285
-0.42375,1.42203,9.84285
-0.4235,1.42236,9.84661
-0.42325,1.42203,9.84661
-0.423,1.42203,9.84661
-0.42275,1.42203,9.84661
-0.4225,1.42203,9.84661
-0.42225,1.42236,9.84661
-0.422,1.42236,9.84661
-0.42175,1.42236,9.84661
-0.4215,1.42203,9.84661
-0.42125,1.42203,9.84661
-0.421,1.42236,9.85036
-0.42075,1.42203,9.85036
-0.4205,1.42236,9.85036
-0.42025,1.42236,9.85036
-0.42,1.42203,9.85036
-0.41975,1.42203,9.85036
-0.4195,1.42203,9.85036
-0.41925,1.42203,9.85036
-0.419,1.42236,9.85412
-0.41875,1.42236,9.85412
-0.4185,1.42203,9.85412
-0.41825,1.42203,9.85412
-0.418,1.42203,9.85412
-0.41775,1.42236,9.85412
-0.4175,1.42203,9.85412
-0.41725,1.42203,9.85412
-0.417,1.42203,9.85412
-0.41675,1.42236,9.85412
-0.4165,1.42236,9.85788
-0.41625,1.42203,9.85788
-0.416,1.42236,9.85788
-0.41575,1.42203,9.85788
-0.4155,1.42236,9.85788
-0.41525,1.42203,9.85788
-0.415,1.42203,9.85788
-0.41475,1.42203,9.85788
-0.4145,1.42203,9.85788
-0.41425,1.42236,9.85788
-0.414,1.42203,9.85788
-0.41375,1.42203,9.85788
-0.4135,1.42236,9.86163
-0.41325,1.42236,9.86163
-0.413,1.42236,9.86163
-0.41275,1.42203,9.86163
-0.4125,1.42236,9.86163
-0.41225,1.42203,9.86163
-0.412,1.42236,9.86163
-0.41175,1.42236,9.86539
-0.4115,1.42236,9.86539
-0.41125,1.42236,9.86539
-0.411,1.42236,9.86163
-0.41075,1.42236,9.86539
-0.4105,1.42236,9.86539
-0.41025,1.42236,9.86539
-0.41,1.42236,9.86539
-0.40975,1.42236,9.86539
-0.4095,1.42236,9.86539
-0.40925,1.42236,9.86915
-0.409,1.42236,9.86915
-0.40875,1.42236,9.86915
-0.4085,1.42236,9.86915
-0.40825,1.42236,9.86915
-0.408,1.42236,9.86915
-0.40775,1.42236,9.86915
-0.4075,1.42236,9.86915
-0.40725,1.42236,9.86915
-0.407,1.42236,9.8729
-0.40675,1.42236,9.86915
-0.4065,1.42236,9.8729
-0.40625,1.42236,9.8729
-0.406,1.42236,9.8729
-0.40575,1.42236,9.8729
-0.4055,1.42236,9.8729
-0.40525,1.42236,9.8729
-0.405,1.42236,9.8729
-0.40475,1.42236,9.8729
-0.4045,1.42236,9.8729
-0.40425,1.42236,9.8729
-0.404,1.42236,9.87666
-0.40375,1.42236,9.87666
-0.4035,1.42236,9.87666
-0.40325,1.42236,9.87666
-0.403,1.42236,9.87666
-0.40275,1.42236,9.87666
-0.4025,1.42203,9.87666
-0.40225,1.42236,9.87666
-0.402,1.42236,9.88042
-0.40175,1.42236,9.88042
-0.4015,1.42236,9.87666
-0.40125,1.42236,9.88042
-0.401,1.42236,9.88042
-0.40075,1.42236,9.88042
-0.4005,1.42236,9.88042
-0.40025,1.42236,9.88042
-0.4,1.42236,9.88042
-0.39975,1.42236,9.88042
-0.3995,1.42236,9.88042
-0.39925,1.42236,9.88417
-0.399,1.42236,9.88417
-0.39875,1.42236,9.88417
-0.3985,1.42236,9.88417
-0.39825,1.42236,9.88417
-0.398,1.42236,9.88417
-0.39775,1.42236,9.88417
-0.3975,1.42236,9.88417
-0.39725,1.42236,9.88417
-0.397,1.42236,9.88417
-0.39675,1.42236,9.88793
-0.3965,1.42236,9.88793
-0.39625,1.42236,9.88793
-0.396,1.42236,9.88793
-0.39575,1.42236,9.88793
-0.3955,1.42236,9.88793
-0.39525,1.42236,9.88793
-0.395,1.42236,9.88793
-0.39475,1.42236,9.88793
-0.3945,1.42236,9.88793
-0.39425,1.42236,9.89169
-0.394,1.42236,9.89169
-0.39375,1.42236,9.89169
-0.3935,1.42236,9.89169
-0.39325,1.42236,9.89169
-0.393,1.42236,9.89169
-0.39275,1.42236,9.89544
-0.3925,1.42236,9.89169
-0.39225,1.42236,9.89544
-0.392,1.42236,9.89544
-0.39175,1.42236,9.89544
-0.3915,1.42236,9.89544
-0.39125,1.42236,9.89544
-0.391,1.42236,9.89544
-0.39075,1.42236,9.89544
-0.3905,1.42236,9.8992
-0.39025,1.42236,9.8992
-0.39,1.42236,9.8992
-0.38975,1.42236,9.89544
-0.3895,1.42236,9.8992
-0.38925,1.42236,9.8992
-0.389,1.42236,9.8992
-0.38875,1.42236,9.8992
-0.3885,1.42236,9.8992
-0.38825,1.42236,9.8992
-0.388,1.42236,9.8992
-0.38775,1.42236,9.8992
-0.3875,1.42236,9.90296
-0.38725,1.42236,9.90296
-0.387,1.42236,9.90296
-0.38675,1.42236,9.90296
-0.3865,1.42236,9.90296
-0.38625,1.42236,9.90296
-0.386,1.42236,9.90296
-0.38575,1.42236,9.90296
-0.3855,1.42236,9.90671
-0.38525,1.42236,9.90671
-0.385,1.42236,9.90671
-0.38475,1.42236,9.90671
-0.3845,1.42236,9.90296
-0.38425,1.42236,9.90671
-0.384,1.42236,9.90671
-0.38375,1.42236,9.91047
-0.3835,1.42236,9.90671
-0.38325,1.42236,9.90671
-0.383,1.42236,9.91047
-0.38275,1.42236,9.91047
-0.3825,1.42236,9.91047
-0.38225,1.42236,9.91047
-0.382,1.42236,9.91047
-0.38175,1.42236,9.91047
-0.3815,1.42236,9.91047
-0.38125,1.42236,9.91422
-0.381,1.42236,9.91422
-0.38075,1.42236,9.91422
-0.3805,1.42236,9.91422
-0.38025,1.42236,9.91422
-0.38,1.42236,9.91422
-0.37975,1.42236,9.91422
-0.3795,1.42236,9.91422
-0.37925,1.42236,9.91422
-0.379,1.42236,9.91422
-0.37875,1.42236,9.91798
-0.3785,1.4227,9.91798
-0.37825,1.42236,9.91422
-0.378,1.42236,9.91798
-0.37775,1.42236,9.91798
-0.3775,1.42236,9.91798
-0.37725,1.42236,9.91798
-0.377,1.42236,9.91798
-0.37675,1.42236,9.91798
-0.3765,1.42236,9.91798
-0.37625,1.42236,9.91798
-0.376,1.42236,9.91798
-0.37575,1.42236,9.91798
-0.3755,1.42236,9.92174
-0.37525,1.42236,9.92174
-0.375,1.42236,9.92174
-0.37475,1.42236,9.92174
-0.3745,1.42236,9.92174
-0.37425,1.42236,9.92174
-0.374,1.42236,9.92174
-0.37375,1.4227,9.92549
-0.3735,1.42236,9.92549
-0.37325,1.42236,9.92174
-0.373,1.42236,9.92174
-0.37275,1.42236,9.92549
-0.3725,1.4227,9.92549
-0.37225,1.42236,9.92549
-0.372,1.42236,9.92549
-0.37175,1.42236,9.92549
-0.3715,1.42236,9.92549
-0.37125,1.4227,9.92925
-0.371,1.42236,9.92925
-0.37075,1.42236,9.92925
-0.3705,1.4227,9.92925
-0.37025,1.42236,9.92925
-0.37,1.42236,9.92925
-0.36975,1.42236,9.92925
-0.3695,1.42236,9.92925
-0.36925,1.4227,9.93301
-0.369,1.42236,9.93301
-0.36875,1.4227,9.93301
-0.3685,1.4227,9.92925
-0.36825,1.4227,9.93301
-0.368,1.4227,9.93301
-0.36775,1.4227,9.93301
-0.3675,1.42236,9.93301
-0.36725,1.42236,9.93301
-0.367,1.42236,9.93301
-0.36675,1.4227,9.93676
-0.3665,1.4227,9.93676
-0.36625,1.42236,9.93676
-0.366,1.42236,9.93676
-0.36575,1.4227,9.93676
-0.3655,1.4227,9.93676
-0.36525,1.4227,9.93676
-0.365,1.4227,9.93676
-0.36475,1.42236,9.93676
-0.3645,1.4227,9.94052
-0.36425,1.42236,9.94052
-0.364,1.4227,9.93676
-0.36375,1.42236,9.94052
-0.3635,1.42236,9.94052
-0.36325,1.42236,9.94052
-0.363,1.4227,9.94052
-0.36275,1.4227,9.94052
-0.3625,1.4227,9.94052
-0.36225,1.4227,9.94052
-0.362,1.42236,9.94052
-0.36175,1.42236,9.94052
-0.3615,1.42236,9.94428
-0.36125,1.42236,9.94428
-0.361,1.42236,9.94428
-0.36075,1.42236,9.94428
-0.3605,1.42236,9.94428
-0.36025,1.4227,9.94428
-0.36,1.4227,9.94428
-0.35975,1.4227,9.94803
-0.3595,1.4227,9.94428
-0.35925,1.4227,9.94428
-0.359,1.4227,9.94803
-0.35875,1.4227,9.94803
-0.3585,1.42236,9.94803
-0.35825,1.42236,9.94803
-0.358,1.4227,9.94803
-0.35775,1.4227,9.94803
-0.3575,1.4227,9.94803
-0.35725,1.4227,9.95179
-0.357,1.4227,9.94803
-0.35675,1.4227,9.95179
-0.3565,1.4227,9.95179
-0.35625,1.42236,9.95179
-0.356,1.4227,9.95179
-0.35575,1.4227,9.95179
-0.3555,1.4227,9.95179
-0.35525,1.4227,9.95179
-0.355,1.4227,9.95555
-0.35475,1.4227,9.95555
-0.3545,1.4227,9.95555
-0.35425,1.4227,9.95555
-0.354,1.4227,9.95555
-0.35375,1.4227,9.95555
-0.3535,1.4227,9.95555
-0.35325,1.4227,9.95555
-0.353,1.4227,9.95555
-0.35275,1.4227,9.95555
-0.3525,1.4227,9.95555
-0.35225,1.4227,9.9593
-0.352,1.4227,9.9593
-0.35175,1.4227,9.9593
-0.3515,1.4227,9.9593
-0.35125,1.4227,9.9593
-0.351,1.4227,9.9593
-0.35075,1.42236,9.9593
-0.3505,1.4227,9.96306
-0.35025,1.4227,9.96306
-0.35,1.4227,9.9593
-0.34975,1.4227,9.96306
-0.3495,1.4227,9.96306
-0.34925,1.4227,9.96306
-0.349,1.4227,9.96306
-0.34875,1.4227,9.96306
-0.3485,1.4227,9.96306
-0.34825,1.4227,9.96306
-0.348,1.4227,9.96682
-0.34775,1.4227,9.96682
-0.3475,1.4227,9.96682
-0.34725,1.4227,9.96682
-0.347,1.4227,9.96682
-0.34675,1.4227,9.96682
-0.3465,1.4227,9.96682
-0.34625,1.4227,9.96682
-0.346,1.4227,9.96682
-0.34575,1.4227,9.96682
-0.3455,1.4227,9.97057
-0.34525,1.4227,9.97057
-0.345,1.4227,9.97057
-0.34475,1.4227,9.97057
-0.3445,1.4227,9.97057
-0.34425,1.4227,9.97057
-0.344,1.4227,9.97057
-0.34375,1.4227,9.97057
-0.3435,1.4227,9.97057
-0.34325,1.4227,9.97057
-0.343,1.4227,9.97433
-0.34275,1.4227,9.97433
-0.3425,1.4227,9.97433
-0.34225,1.4227,9.97433
-0.342,1.4227,9.97433
-0.34175,1.4227,9.97433
-0.3415,1.4227,9.97433
-0.34125,1.4227,9.97433
-0.341,1.4227,9.97809
-0.34075,1.4227,9.97809
-0.3405,1.4227,9.97809
-0.34025,1.42304,9.97809
-0.34,1.4227,9.97809
-0.33975,1.4227,9.97809
-0.3395,1.4227,9.97809
-0.33925,1.4227,9.97809
-0.339,1.4227,9.97809
-0.33875,1.4227,9.97809
-0.3385,1.4227,9.97809
-0.33825,1.4227,9.98184
-0.338,1.4227,9.98184
-0.33775,1.42304,9.98184
-0.3375,1.4227,9.98184
-0.33725,1.4227,9.98184
-0.337,1.4227,9.98184
-0.33675,1.4227,9.98184
-0.3365,1.4227,9.98184
-0.33625,1.4227,9.98184
-0.336,1.4227,9.9856
-0.33575,1.4227,9.98184
-0.3355,1.4227,9.9856
-0.33525,1.4227,9.9856
-0.335,1.4227,9.9856
-0.33475,1.4227,9.9856
-0.3345,1.4227,9.9856
-0.33425,1.42304,9.9856
-0.334,1.4227,9.9856
-0.33375,1.4227,9.9856
-0.3335,1.4227,9.9856
-0.33325,1.4227,9.98936
-0.333,1.4227,9.98936
-0.33275,1.4227,9.98936
-0.3325,1.4227,9.98936
-0.33225,1.4227,9.98936
-0.332,1.4227,9.98936
-0.33175,1.42304,9.98936
-0.3315,1.4227,9.98936
-0.33125,1.4227,9.98936
-0.331,1.4227,9.98936
-0.33075,1.4227,9.98936
-0.3305,1.4227,9.99311
-0.33025,1.42304,9.99311
-0.33,1.42304,9.99311
-0.32975,1.4227,9.99311
-0.3295,1.4227,9.99311
-0.32925,1.4227,9.99311
-0.329,1.4227,9.99311
-0.32875,1.4227,9.99311
-0.3285,1.4227,9.99687
-0.32825,1.4227,9.99687
-0.328,1.4227,9.99687
-0.32775,1.4227,9.99687
-0.3275,1.4227,9.99687
-0.32725,1.4227,9.99687
-0.327,1.4227,9.99687
-0.32675,1.4227,9.99687
-0.3265,1.4227,9.99687
-0.32625,1.4227,9.99687
-0.326,1.4227,9.99687
-0.32575,1.4227,9.99687
-0.3255,1.42304,9.99687
-0.32525,1.42304,10.0006
-0.325,1.42304,10.0006
-0.32475,1.4227,10.0006
-0.3245,1.42304,10.0006
-0.32425,1.4227,10.0006
-0.324,1.42304,10.0006
-0.32375,1.42304,10.0006
-0.3235,1.4227,10.0044
-0.32325,1.4227,10.0044
-0.323,1.4227,10.0044
-0.32275,1.4227,10.0044
-0.3225,1.4227,10.0044
-0.32225,1.42304,10.0044
-0.322,1.42304,10.0044
-0.32175,1.4227,10.0044
-0.3215,1.4227,10.0044
-0.32125,1.42304,10.0044
-0.321,1.42304,10.0081
-0.32075,1.42304,10.0081
-0.3205,1.42304,10.0081
-0.32025,1.42304,10.0081
-0.32,1.4227,10.0081
-0.31975,1.42304,10.0081
-0.3195,1.4227,10.0081
-0.31925,1.42304,10.0081
-0.319,1.42304,10.0081
-0.31875,1.42304,10.0081
-0.3185,1.42304,10.0081
-0.31825,1.42304,10.0119
-0.318,1.42304,10.0119
-0.31775,1.42304,10.0119
-0.3175,1.42304,10.0119
-0.31725,1.42304,10.0119
-0.317,1.42304,10.0119
-0.31675,1.42304,10.0119
-0.3165,1.42304,10.0157
-0.31625,1.42304,10.0157
-0.316,1.42304,10.0157
-0.31575,1.42304,10.0157
-0.3155,1.4227,10.0157
-0.31525,1.42304,10.0157
-0.315,1.42304,10.0157
-0.31475,1.42304,10.0157
-0.3145,1.42304,10.0157
-0.31425,1.42304,10.0157
-0.314,1.42304,10.0157
-0.31375,1.42304,10.0157
-0.3135,1.42304,10.0157
-0.31325,1.42304,10.0194
-0.313,1.42304,10.0194
-0.31275,1.42304,10.0194
-0.3125,1.42304,10.0194
-0.31225,1.42304,10.0194
-0.312,1.42304,10.0194
-0.31175,1.42304,10.0194
-0.3115,1.42304,10.0194
-0.31125,1.42304,10.0194
-0.311,1.42304,10.0232
-0.31075,1.42304,10.0232
-0.3105,1.42304,10.0232
-0.31025,1.42304,10.0232
-0.31,1.42304,10.0232
-0.30975,1.42304,10.0232
-0.3095,1.42304,10.0232
-0.30925,1.42304,10.0232
-0.309,1.42304,10.0269
-0.30875,1.42304,10.0269
-0.3085,1.42304,10.0269
-0.30825,1.42304,10.0269
-0.308,1.4227,10.0269
-0.30775,1.42304,10.0269
-0.3075,1.42304,10.0269
-0.30725,1.42304,10.0269
-0.307,1.42304,10.0269
