,#Digilent WaveForms Oscilloscope XY,
,#Device Name: Discovery2,
,#Serial Number: SN:210321AA2225,
,#Date Time: 2019-02-11 12:30:44.188,
,,
Times,Channel2V,Math 1 (A)
-0.00143313,0.938516,0.00625678
-0.00143255,0.930122,0.00620081
-0.00143197,0.917698,0.00611799
-0.00143139,0.904267,0.00602845
-0.00143081,0.890836,0.0059389
-0.00143023,0.877069,0.00584712
-0.00142965,0.864309,0.00576206
-0.00142907,0.854236,0.0056949
-0.00142849,0.841812,0.00561208
-0.00142791,0.82838,0.00552254
-0.00142733,0.815621,0.00543747
-0.00142675,0.801854,0.00534569
-0.00142617,0.788423,0.00525615
-0.00142559,0.776335,0.00517556
-0.00142501,0.766597,0.00511065
-0.00142443,0.75283,0.00501887
-0.00142385,0.739399,0.00492933
-0.00142327,0.726303,0.00484202
-0.00142269,0.713544,0.00475696
-0.00142211,0.700113,0.00466742
-0.00142153,0.691382,0.00460921
-0.00142095,0.677615,0.00451744
-0.00142037,0.66452,0.00443013
-0.00141979,0.650753,0.00433835
-0.00141921,0.63665,0.00424433
-0.00141863,0.624562,0.00416375
-0.00141805,0.614153,0.00409435
-0.00141747,0.601729,0.00401153
-0.00141689,0.588634,0.00392422
-0.00141631,0.575538,0.00383692
-0.00141573,0.562778,0.00375186
-0.00141515,0.54834,0.0036556
-0.00141457,0.535916,0.00357277
-0.00141399,0.52685,0.00351233
-0.00141341,0.513083,0.00342055
-0.00141283,0.500323,0.00333549
-0.00141225,0.487228,0.00324819
-0.00141167,0.473797,0.00315865
-0.00141109,0.46003,0.00306687
-0.00141051,0.450964,0.00300642
-0.00140993,0.437868,0.00291912
-0.00140935,0.424437,0.00282958
-0.00140877,0.411342,0.00274228
-0.00140819,0.397575,0.0026505
-0.00140761,0.384815,0.00256543
-0.00140703,0.375077,0.00250052
-0.00140645,0.362318,0.00241545
-0.00140587,0.348887,0.00232591
-0.00140529,0.335791,0.00223861
-0.00140471,0.32236,0.00214907
-0.00140413,0.308929,0.00205953
-0.00140355,0.29852,0.00199013
-0.00140297,0.287439,0.00191626
-0.00140239,0.274008,0.00182672
-0.00140181,0.259905,0.0017327
-0.00140123,0.24681,0.0016454
-0.00140065,0.233378,0.00155586
-0.00140007,0.219611,0.00146408
-0.00139949,0.210545,0.00140364
-0.00139891,0.198121,0.00132081
-0.00139833,0.185698,0.00123798
-0.00139775,0.172266,0.00114844
-0.00139717,0.158164,0.00105442
-0.00139659,0.144397,0.000962644
-0.00139601,0.134323,0.000895488
-0.00139543,0.121899,0.000812662
-0.00139485,0.108468,0.000723121
-0.00139427,0.0957085,0.000638057
-0.00139369,0.0819415,0.000546277
-0.00139311,0.0685103,0.000456735
-0.00139253,0.0577654,0.000385102
-0.00139195,0.0466846,0.000311231
-0.00139137,0.0329176,0.000219451
-0.00139079,0.0188149,0.000125433
-0.00139021,0.00571946,3.81E-05
-0.00138963,-0.00603284,-4.02E-05
-0.00138905,-0.0174494,-0.000116329
-0.00138847,-0.0278585,-0.000185724
-0.00138789,-0.0412897,-0.000275265
-0.00138731,-0.0540494,-0.000360329
-0.00138673,-0.0678164,-0.000452109
-0.00138615,-0.0812476,-0.00054165
-0.00138557,-0.0953503,-0.000635669
-0.00138499,-0.104081,-0.000693871
-0.00138441,-0.115833,-0.000772219
-0.00138383,-0.129936,-0.000866238
-0.00138325,-0.144374,-0.000962495
-0.00138267,-0.15747,-0.0010498
-0.00138209,-0.170565,-0.0011371
-0.00138151,-0.181982,-0.00121321
-0.00138093,-0.192727,-0.00128484
-0.00138035,-0.205822,-0.00137215
-0.00137977,-0.218917,-0.00145945
-0.00137919,-0.231677,-0.00154451
-0.00137861,-0.24578,-0.00163853
-0.00137803,-0.257532,-0.00171688
-0.00137745,-0.268613,-0.00179075
-0.00137687,-0.281708,-0.00187805
-0.00137629,-0.294468,-0.00196312
-0.00137571,-0.308235,-0.0020549
-0.00137513,-0.32133,-0.0021422
-0.00137455,-0.333754,-0.00222503
-0.00137397,-0.343156,-0.00228771
-0.00137339,-0.356251,-0.00237501
-0.00137281,-0.370354,-0.00246903
-0.00137223,-0.38345,-0.00255633
-0.00137165,-0.397217,-0.00264811
-0.00137107,-0.410648,-0.00273765
-0.00137049,-0.421057,-0.00280705
-0.00136991,-0.433145,-0.00288763
-0.00136933,-0.445569,-0.00297046
-0.00136875,-0.459,-0.00306
-0.00136817,-0.471424,-0.00314283
-0.00136759,-0.485527,-0.00323684
-0.00136701,-0.497279,-0.00331519
-0.00136643,-0.50836,-0.00338906
-0.00136585,-0.520784,-0.00347189
-0.00136527,-0.534551,-0.00356367
-0.00136469,-0.54731,-0.00364873
-0.00136411,-0.561749,-0.00374499
-0.00136353,-0.573165,-0.0038211
-0.00136295,-0.582231,-0.00388154
-0.00136237,-0.595998,-0.00397332
-0.00136179,-0.60943,-0.00406286
-0.00136121,-0.623196,-0.00415464
-0.00136063,-0.636628,-0.00424418
-0.00136005,-0.650059,-0.00433373
-0.00135947,-0.658789,-0.00439193
-0.00135889,-0.672556,-0.00448371
-0.00135831,-0.685652,-0.00457101
-0.00135773,-0.699419,-0.00466279
-0.00135715,-0.71285,-0.00475233
-0.00135657,-0.725274,-0.00483516
-0.00135599,-0.736019,-0.00490679
-0.00135541,-0.746764,-0.00497842
-0.00135483,-0.760195,-0.00506796
-0.00135425,-0.773626,-0.00515751
-0.00135367,-0.787057,-0.00524705
-0.00135309,-0.800824,-0.00533883
-0.00135251,-0.812912,-0.00541941
-0.00135193,-0.822986,-0.00548657
-0.00135135,-0.835745,-0.00557163
-0.00135077,-0.850184,-0.00566789
-0.00135019,-0.863279,-0.00575519
-0.00134961,-0.87671,-0.00584474
-0.00134903,-0.88947,-0.0059298
-0.00134845,-0.897865,-0.00598576
-0.00134787,-0.911296,-0.0060753
-0.00134729,-0.924391,-0.00616261
-0.00134671,-0.938158,-0.00625439
-0.00134613,-0.951589,-0.00634393
-0.00134555,-0.965021,-0.00643347
-0.00134497,-0.976101,-0.00650734
-0.00134439,-0.986846,-0.00657897
-0.00134381,-1.00061,-0.00667075
-0.00134323,-1.01438,-0.00676253
-0.00134265,-1.02714,-0.0068476
-0.00134207,-1.04091,-0.00693938
-0.00134149,-1.05266,-0.00701773
-0.00134091,-1.06206,-0.00708041
-0.00134033,-1.07583,-0.00717219
-0.00133975,-1.08926,-0.00726173
-0.00133917,-1.10235,-0.00734903
-0.00133859,-1.11579,-0.00743857
-0.00133801,-1.12855,-0.00752364
-0.00133743,-1.13761,-0.00758408
-0.00133685,-1.15104,-0.00767362
-0.00133627,-1.16347,-0.00775644
-0.00133569,-1.1769,-0.00784598
-0.00133511,-1.191,-0.00794
-0.00133453,-1.20443,-0.00802954
-0.00133395,-1.21316,-0.00808775
-0.00133337,-1.22626,-0.00817505
-0.00133279,-1.24002,-0.00826683
-0.00133221,-1.25278,-0.00835189
-0.00133163,-1.26689,-0.00844591
-0.00133105,-1.28065,-0.00853769
-0.00133047,-1.29274,-0.00861828
-0.00132989,-1.3008,-0.008672
-0.00132931,-1.31457,-0.00876378
-0.00132873,-1.32766,-0.00885109
-0.00132815,-1.34109,-0.00894063
-0.00132757,-1.35486,-0.00903241
-0.00132699,-1.36762,-0.00911747
-0.00132641,-1.37635,-0.00917567
-0.00132583,-1.39045,-0.00926969
-0.00132525,-1.40355,-0.00935699
-0.00132467,-1.41631,-0.00944206
-0.00132409,-1.42974,-0.0095316
-0.00132351,-1.44351,-0.00962338
-0.00132293,-1.45291,-0.00968606
-0.00132235,-1.46567,-0.00977112
-0.00132177,-1.47876,-0.00985843
-0.00132119,-1.49253,-0.00995021
-0.00132061,-1.5063,-0.010042
-0.00132003,-1.52006,-0.0101338
-0.00131945,-1.53047,-0.0102032
-0.00131887,-1.54088,-0.0102726
-0.00131829,-1.55431,-0.0103621
-0.00131771,-1.56775,-0.0104516
-0.00131713,-1.58151,-0.0105434
-0.00131655,-1.59394,-0.0106262
-0.00131597,-1.60737,-0.0107158
-0.00131539,-1.61711,-0.0107807
-0.00131481,-1.6302,-0.010868
-0.00131423,-1.6433,-0.0109553
-0.00131365,-1.65606,-0.0110404
-0.00131307,-1.67049,-0.0111366
-0.00131249,-1.68325,-0.0112217
-0.00131191,-1.69299,-0.0112866
-0.00131133,-1.70474,-0.011365
-0.00131075,-1.71784,-0.0114523
-0.00131017,-1.73194,-0.0115463
-0.00130959,-1.74504,-0.0116336
-0.00130901,-1.75847,-0.0117231
-0.00130843,-1.76989,-0.0117992
-0.00130785,-1.78097,-0.0118731
-0.00130727,-1.79373,-0.0119582
-0.00130669,-1.80783,-0.0120522
-0.00130611,-1.82126,-0.0121417
-0.00130553,-1.83402,-0.0122268
-0.00130495,-1.84443,-0.0122962
-0.00130437,-1.85618,-0.0123745
-0.00130379,-1.86928,-0.0124618
-0.00130321,-1.88304,-0.0125536
-0.00130263,-1.89614,-0.0126409
-0.00130205,-1.90991,-0.0127327
-0.00130147,-1.92334,-0.0128222
-0.00130089,-1.93274,-0.0128849
-0.00130031,-1.94382,-0.0129588
-0.00129973,-1.95725,-0.0130483
-0.00129915,-1.97068,-0.0131379
-0.00129857,-1.98445,-0.0132297
-0.00129799,-1.99822,-0.0133214
-0.00129741,-2.0093,-0.0133953
-0.00129683,-2.02038,-0.0134692
-0.00129625,-2.03381,-0.0135587
-0.00129567,-2.04657,-0.0136438
-0.00129509,-2.06033,-0.0137356
-0.00129451,-2.07377,-0.0138251
-0.00129393,-2.08418,-0.0138945
-0.00129335,-2.09458,-0.0139639
-0.00129277,-2.10869,-0.0140579
-0.00129219,-2.12279,-0.0141519
-0.00129161,-2.13555,-0.014237
-0.00129103,-2.14898,-0.0143265
-0.00129045,-2.16308,-0.0144206
-0.00128987,-2.17181,-0.0144788
-0.00128929,-2.18491,-0.0145661
-0.00128871,-2.198,-0.0146534
-0.00128813,-2.2111,-0.0147407
-0.00128755,-2.22487,-0.0148324
-0.00128697,-2.23796,-0.0149198
-0.00128639,-2.24837,-0.0149891
-0.00128581,-2.26012,-0.0150675
-0.00128523,-2.27389,-0.0151593
-0.00128465,-2.28732,-0.0152488
-0.00128407,-2.30042,-0.0153361
-0.00128349,-2.31452,-0.0154301
-0.00128291,-2.3256,-0.015504
-0.00128233,-2.335,-0.0155667
-0.00128175,-2.34843,-0.0156562
-0.00128117,-2.3622,-0.015748
-0.00128059,-2.3753,-0.0158353
-0.00128001,-2.38839,-0.0159226
-0.00127943,-2.40182,-0.0160122
-0.00127885,-2.41089,-0.0160726
-0.00127827,-2.42398,-0.0161599
-0.00127769,-2.43809,-0.0162539
-0.00127711,-2.45051,-0.0163367
-0.00127653,-2.46361,-0.016424
-0.00127595,-2.47704,-0.0165136
-0.00127537,-2.48778,-0.0165852
-0.00127479,-2.49954,-0.0166636
-0.00127421,-2.51263,-0.0167509
-0.00127363,-2.52606,-0.0168404
-0.00127305,-2.54016,-0.0169344
-0.00127247,-2.55259,-0.0170173
-0.00127189,-2.56434,-0.0170956
-0.00127131,-2.57542,-0.0171695
-0.00127073,-2.58919,-0.0172613
-0.00127015,-2.60262,-0.0173508
-0.00126957,-2.61639,-0.0174426
-0.00126899,-2.62948,-0.0175299
-0.00126841,-2.64157,-0.0176105
-0.00126783,-2.65131,-0.0176754
-0.00126725,-2.6644,-0.0177627
-0.00126667,-2.67817,-0.0178545
-0.00126609,-2.69194,-0.0179462
-0.00126551,-2.7057,-0.018038
-0.00126493,-2.7188,-0.0181253
-0.00126435,-2.72719,-0.0181813
-0.00126377,-2.74029,-0.0182686
-0.00126319,-2.75036,-0.0183358
-0.00126261,-2.75103,-0.0183402
-0.00126203,-2.75103,-0.0183402
-0.00126145,-2.75103,-0.0183402
-0.00126087,-2.75103,-0.0183402
-0.00126029,-2.75103,-0.0183402
-0.00125971,-2.75103,-0.0183402
-0.00125913,-2.75103,-0.0183402
-0.00125855,-2.75103,-0.0183402
-0.00125797,-2.75103,-0.0183402
-0.00125739,-2.75103,-0.0183402
-0.00125681,-2.75103,-0.0183402
-0.00125623,-2.75103,-0.0183402
-0.00125565,-2.75103,-0.0183402
-0.00125507,-2.75103,-0.0183402
-0.00125449,-2.75103,-0.0183402
-0.00125391,-2.75103,-0.0183402
-0.00125333,-2.75103,-0.0183402
-0.00125275,-2.75103,-0.0183402
-0.00125217,-2.75103,-0.0183402
-0.00125159,-2.75103,-0.0183402
-0.00125101,-2.75103,-0.0183402
-0.00125043,-2.75103,-0.0183402
-0.00124985,-2.75103,-0.0183402
-0.00124927,-2.75103,-0.0183402
-0.00124869,-2.75103,-0.0183402
-0.00124811,-2.75103,-0.0183402
-0.00124753,-2.75103,-0.0183402
-0.00124695,-2.75103,-0.0183402
-0.00124637,-2.75103,-0.0183402
-0.00124579,-2.75103,-0.0183402
-0.00124521,-2.75103,-0.0183402
-0.00124463,-2.75103,-0.0183402
-0.00124405,-2.75103,-0.0183402
-0.00124347,-2.75103,-0.0183402
-0.00124289,-2.75103,-0.0183402
-0.00124231,-2.75103,-0.0183402
-0.00124173,-2.75103,-0.0183402
-0.00124115,-2.75103,-0.0183402
-0.00124057,-2.75103,-0.0183402
-0.00123999,-2.75103,-0.0183402
-0.00123941,-2.75103,-0.0183402
-0.00123883,-2.75103,-0.0183402
-0.00123825,-2.75103,-0.0183402
-0.00123767,-2.75103,-0.0183402
-0.00123709,-2.75103,-0.0183402
-0.00123651,-2.75103,-0.0183402
-0.00123593,-2.75103,-0.0183402
-0.00123535,-2.75103,-0.0183402
-0.00123477,-2.75103,-0.0183402
-0.00123419,-2.75103,-0.0183402
-0.00123361,-2.75103,-0.0183402
-0.00123303,-2.75103,-0.0183402
-0.00123245,-2.75103,-0.0183402
-0.00123187,-2.75103,-0.0183402
-0.00123129,-2.75103,-0.0183402
-0.00123071,-2.75103,-0.0183402
-0.00123013,-2.75103,-0.0183402
-0.00122955,-2.75103,-0.0183402
-0.00122897,-2.75103,-0.0183402
-0.00122839,-2.75103,-0.0183402
-0.00122781,-2.75103,-0.0183402
-0.00122723,-2.75103,-0.0183402
-0.00122665,-2.75103,-0.0183402
-0.00122607,-2.75103,-0.0183402
-0.00122549,-2.75103,-0.0183402
-0.00122491,-2.75103,-0.0183402
-0.00122433,-2.75103,-0.0183402
-0.00122375,-2.75103,-0.0183402
-0.00122317,-2.75103,-0.0183402
-0.00122259,-2.75103,-0.0183402
-0.00122201,-2.75103,-0.0183402
-0.00122143,-2.75103,-0.0183402
-0.00122085,-2.75103,-0.0183402
-0.00122027,-2.75103,-0.0183402
-0.00121969,-2.75103,-0.0183402
-0.00121911,-2.75103,-0.0183402
-0.00121853,-2.75103,-0.0183402
-0.00121795,-2.75103,-0.0183402
-0.00121737,-2.75103,-0.0183402
-0.00121679,-2.75103,-0.0183402
-0.00121621,-2.75103,-0.0183402
-0.00121563,-2.75103,-0.0183402
-0.00121505,-2.75103,-0.0183402
-0.00121447,-2.75103,-0.0183402
-0.00121389,-2.75103,-0.0183402
-0.00121331,-2.75103,-0.0183402
-0.00121273,-2.75103,-0.0183402
-0.00121215,-2.75103,-0.0183402
-0.00121157,-2.75103,-0.0183402
-0.00121099,-2.75103,-0.0183402
-0.00121041,-2.75103,-0.0183402
-0.00120983,-2.75103,-0.0183402
-0.00120925,-2.75103,-0.0183402
-0.00120867,-2.75103,-0.0183402
-0.00120809,-2.75103,-0.0183402
-0.00120751,-2.75103,-0.0183402
-0.00120693,-2.75103,-0.0183402
-0.00120635,-2.75103,-0.0183402
-0.00120577,-2.75103,-0.0183402
-0.00120519,-2.75103,-0.0183402
-0.00120461,-2.75103,-0.0183402
-0.00120403,-2.75103,-0.0183402
-0.00120345,-2.75103,-0.0183402
-0.00120287,-2.75103,-0.0183402
-0.00120229,-2.75103,-0.0183402
-0.00120171,-2.75103,-0.0183402
-0.00120113,-2.75103,-0.0183402
-0.00120055,-2.75103,-0.0183402
-0.00119997,-2.75103,-0.0183402
-0.00119939,-2.75103,-0.0183402
-0.00119881,-2.75103,-0.0183402
-0.00119823,-2.75103,-0.0183402
-0.00119765,-2.75103,-0.0183402
-0.00119707,-2.75103,-0.0183402
-0.00119649,-2.75103,-0.0183402
-0.00119591,-2.75103,-0.0183402
-0.00119533,-2.75103,-0.0183402
-0.00119475,-2.75103,-0.0183402
-0.00119417,-2.75103,-0.0183402
-0.00119359,-2.75103,-0.0183402
-0.00119301,-2.75103,-0.0183402
-0.00119243,-2.75103,-0.0183402
-0.00119185,-2.75103,-0.0183402
-0.00119127,-2.75103,-0.0183402
-0.00119069,-2.75103,-0.0183402
-0.00119011,-2.75103,-0.0183402
-0.00118953,-2.75103,-0.0183402
-0.00118895,-2.75103,-0.0183402
-0.00118837,-2.75103,-0.0183402
-0.00118779,-2.75103,-0.0183402
-0.00118721,-2.75103,-0.0183402
-0.00118663,-2.75103,-0.0183402
-0.00118605,-2.75103,-0.0183402
-0.00118547,-2.75103,-0.0183402
-0.00118489,-2.75103,-0.0183402
-0.00118431,-2.75103,-0.0183402
-0.00118373,-2.75103,-0.0183402
-0.00118315,-2.75103,-0.0183402
-0.00118257,-2.75103,-0.0183402
-0.00118199,-2.75103,-0.0183402
-0.00118141,-2.75103,-0.0183402
-0.00118083,-2.75103,-0.0183402
-0.00118025,-2.75103,-0.0183402
-0.00117967,-2.75103,-0.0183402
-0.00117909,-2.75103,-0.0183402
-0.00117851,-2.75103,-0.0183402
-0.00117793,-2.75103,-0.0183402
-0.00117735,-2.75103,-0.0183402
-0.00117677,-2.75103,-0.0183402
-0.00117619,-2.75103,-0.0183402
-0.00117561,-2.75103,-0.0183402
-0.00117503,-2.75103,-0.0183402
-0.00117445,-2.75103,-0.0183402
-0.00117387,-2.75103,-0.0183402
-0.00117329,-2.75103,-0.0183402
-0.00117271,-2.75103,-0.0183402
-0.00117213,-2.75103,-0.0183402
-0.00117155,-2.75103,-0.0183402
-0.00117097,-2.75103,-0.0183402
-0.00117039,-2.75103,-0.0183402
-0.00116981,-2.75103,-0.0183402
-0.00116923,-2.75103,-0.0183402
-0.00116865,-2.75103,-0.0183402
-0.00116807,-2.75103,-0.0183402
-0.00116749,-2.75103,-0.0183402
-0.00116691,-2.75103,-0.0183402
-0.00116633,-2.75103,-0.0183402
-0.00116575,-2.75103,-0.0183402
-0.00116517,-2.75103,-0.0183402
-0.00116459,-2.75103,-0.0183402
-0.00116401,-2.75103,-0.0183402
-0.00116343,-2.75103,-0.0183402
-0.00116285,-2.75103,-0.0183402
-0.00116227,-2.75103,-0.0183402
-0.00116169,-2.75103,-0.0183402
-0.00116111,-2.75103,-0.0183402
-0.00116053,-2.75103,-0.0183402
-0.00115995,-2.75103,-0.0183402
-0.00115937,-2.75103,-0.0183402
-0.00115879,-2.75103,-0.0183402
-0.00115821,-2.75103,-0.0183402
-0.00115763,-2.75103,-0.0183402
-0.00115705,-2.75103,-0.0183402
-0.00115647,-2.75103,-0.0183402
-0.00115589,-2.75103,-0.0183402
-0.00115531,-2.75103,-0.0183402
-0.00115473,-2.75103,-0.0183402
-0.00115415,-2.75103,-0.0183402
-0.00115357,-2.75103,-0.0183402
-0.00115299,-2.75103,-0.0183402
-0.00115241,-2.75103,-0.0183402
-0.00115183,-2.75103,-0.0183402
-0.00115125,-2.75103,-0.0183402
-0.00115067,-2.75103,-0.0183402
-0.00115009,-2.75103,-0.0183402
-0.00114951,-2.75103,-0.0183402
-0.00114893,-2.75103,-0.0183402
-0.00114835,-2.75103,-0.0183402
-0.00114777,-2.75103,-0.0183402
-0.00114719,-2.75103,-0.0183402
-0.00114661,-2.75103,-0.0183402
-0.00114603,-2.75103,-0.0183402
-0.00114545,-2.75103,-0.0183402
-0.00114487,-2.75103,-0.0183402
-0.00114429,-2.75103,-0.0183402
-0.00114371,-2.75103,-0.0183402
-0.00114313,-2.75103,-0.0183402
-0.00114255,-2.75103,-0.0183402
-0.00114197,-2.75103,-0.0183402
-0.00114139,-2.75103,-0.0183402
-0.00114081,-2.75103,-0.0183402
-0.00114023,-2.75103,-0.0183402
-0.00113965,-2.75103,-0.0183402
-0.00113907,-2.75103,-0.0183402
-0.00113849,-2.75103,-0.0183402
-0.00113791,-2.75103,-0.0183402
-0.00113733,-2.75103,-0.0183402
-0.00113675,-2.75103,-0.0183402
-0.00113617,-2.75103,-0.0183402
-0.00113559,-2.75103,-0.0183402
-0.00113501,-2.75103,-0.0183402
-0.00113443,-2.75103,-0.0183402
-0.00113385,-2.75103,-0.0183402
-0.00113327,-2.75103,-0.0183402
-0.00113269,-2.75103,-0.0183402
-0.00113211,-2.75103,-0.0183402
-0.00113153,-2.75103,-0.0183402
-0.00113095,-2.75103,-0.0183402
-0.00113037,-2.75103,-0.0183402
-0.00112979,-2.75103,-0.0183402
-0.00112921,-2.75103,-0.0183402
-0.00112863,-2.75103,-0.0183402
-0.00112805,-2.75103,-0.0183402
-0.00112747,-2.75103,-0.0183402
-0.00112689,-2.75103,-0.0183402
-0.00112631,-2.75103,-0.0183402
-0.00112573,-2.75103,-0.0183402
-0.00112515,-2.75103,-0.0183402
-0.00112457,-2.75103,-0.0183402
-0.00112399,-2.75103,-0.0183402
-0.00112341,-2.75103,-0.0183402
-0.00112283,-2.75103,-0.0183402
-0.00112225,-2.75103,-0.0183402
-0.00112167,-2.75103,-0.0183402
-0.00112109,-2.75103,-0.0183402
-0.00112051,-2.75103,-0.0183402
-0.00111993,-2.75103,-0.0183402
-0.00111935,-2.75103,-0.0183402
-0.00111877,-2.75103,-0.0183402
-0.00111819,-2.75103,-0.0183402
-0.00111761,-2.75103,-0.0183402
-0.00111703,-2.75103,-0.0183402
-0.00111645,-2.75103,-0.0183402
-0.00111587,-2.75103,-0.0183402
-0.00111529,-2.75103,-0.0183402
-0.00111471,-2.75103,-0.0183402
-0.00111413,-2.75103,-0.0183402
-0.00111355,-2.75103,-0.0183402
-0.00111297,-2.75103,-0.0183402
-0.00111239,-2.75103,-0.0183402
-0.00111181,-2.75103,-0.0183402
-0.00111123,-2.75103,-0.0183402
-0.00111065,-2.75103,-0.0183402
-0.00111007,-2.75103,-0.0183402
-0.00110949,-2.75103,-0.0183402
-0.00110891,-2.75103,-0.0183402
-0.00110833,-2.75103,-0.0183402
-0.00110775,-2.75103,-0.0183402
-0.00110717,-2.75103,-0.0183402
-0.00110659,-2.75103,-0.0183402
-0.00110601,-2.75103,-0.0183402
-0.00110543,-2.75103,-0.0183402
-0.00110485,-2.75103,-0.0183402
-0.00110427,-2.75103,-0.0183402
-0.00110369,-2.75103,-0.0183402
-0.00110311,-2.75103,-0.0183402
-0.00110253,-2.75103,-0.0183402
-0.00110195,-2.75103,-0.0183402
-0.00110137,-2.75103,-0.0183402
-0.00110079,-2.75103,-0.0183402
-0.00110021,-2.75103,-0.0183402
-0.00109963,-2.75103,-0.0183402
-0.00109905,-2.75103,-0.0183402
-0.00109847,-2.75103,-0.0183402
-0.00109789,-2.75103,-0.0183402
-0.00109731,-2.75103,-0.0183402
-0.00109673,-2.75103,-0.0183402
-0.00109615,-2.75103,-0.0183402
-0.00109557,-2.75103,-0.0183402
-0.00109499,-2.75103,-0.0183402
-0.00109441,-2.75103,-0.0183402
-0.00109383,-2.75103,-0.0183402
-0.00109325,-2.75103,-0.0183402
-0.00109267,-2.75103,-0.0183402
-0.00109209,-2.75103,-0.0183402
-0.00109151,-2.75103,-0.0183402
-0.00109093,-2.75103,-0.0183402
-0.00109035,-2.75103,-0.0183402
-0.00108977,-2.75103,-0.0183402
-0.00108919,-2.75103,-0.0183402
-0.00108861,-2.75103,-0.0183402
-0.00108803,-2.75103,-0.0183402
-0.00108745,-2.75103,-0.0183402
-0.00108687,-2.75103,-0.0183402
-0.00108629,-2.75103,-0.0183402
-0.00108571,-2.75103,-0.0183402
-0.00108513,-2.75103,-0.0183402
-0.00108455,-2.75103,-0.0183402
-0.00108397,-2.75103,-0.0183402
-0.00108339,-2.75103,-0.0183402
-0.00108281,-2.75103,-0.0183402
-0.00108223,-2.75103,-0.0183402
-0.00108165,-2.75103,-0.0183402
-0.00108107,-2.75103,-0.0183402
-0.00108049,-2.75103,-0.0183402
-0.00107991,-2.75103,-0.0183402
-0.00107933,-2.75103,-0.0183402
-0.00107875,-2.75103,-0.0183402
-0.00107817,-2.75103,-0.0183402
-0.00107759,-2.75103,-0.0183402
-0.00107701,-2.75103,-0.0183402
-0.00107643,-2.75103,-0.0183402
-0.00107585,-2.75103,-0.0183402
-0.00107527,-2.75103,-0.0183402
-0.00107469,-2.75103,-0.0183402
-0.00107411,-2.75103,-0.0183402
-0.00107353,-2.75103,-0.0183402
-0.00107295,-2.75103,-0.0183402
-0.00107237,-2.75103,-0.0183402
-0.00107179,-2.75103,-0.0183402
-0.00107121,-2.75103,-0.0183402
-0.00107063,-2.75103,-0.0183402
-0.00107005,-2.75103,-0.0183402
-0.00106947,-2.75103,-0.0183402
-0.00106889,-2.75103,-0.0183402
-0.00106831,-2.75103,-0.0183402
-0.00106773,-2.75103,-0.0183402
-0.00106715,-2.75103,-0.0183402
-0.00106657,-2.75103,-0.0183402
-0.00106599,-2.75103,-0.0183402
-0.00106541,-2.75103,-0.0183402
-0.00106483,-2.75103,-0.0183402
-0.00106425,-2.75103,-0.0183402
-0.00106367,-2.75103,-0.0183402
-0.00106309,-2.75103,-0.0183402
-0.00106251,-2.75103,-0.0183402
-0.00106193,-2.75103,-0.0183402
-0.00106135,-2.75103,-0.0183402
-0.00106077,-2.75103,-0.0183402
-0.00106019,-2.75103,-0.0183402
-0.00105961,-2.75103,-0.0183402
-0.00105903,-2.75103,-0.0183402
-0.00105845,-2.75103,-0.0183402
-0.00105787,-2.75103,-0.0183402
-0.00105729,-2.75103,-0.0183402
-0.00105671,-2.75103,-0.0183402
-0.00105613,-2.75103,-0.0183402
-0.00105555,-2.74768,-0.0183178
-0.00105497,-2.73492,-0.0182328
-0.00105439,-2.72182,-0.0181455
-0.00105381,-2.70839,-0.0180559
-0.00105323,-2.69462,-0.0179642
-0.00105265,-2.68287,-0.0178858
-0.00105207,-2.6728,-0.0178187
-0.00105149,-2.6597,-0.0177313
-0.00105091,-2.6456,-0.0176373
-0.00105033,-2.6315,-0.0175433
-0.00104975,-2.61807,-0.0174538
-0.00104917,-2.60463,-0.0173642
-0.00104859,-2.59624,-0.0173083
-0.00104801,-2.58314,-0.017221
-0.00104743,-2.56971,-0.0171314
-0.00104685,-2.55662,-0.0170441
-0.00104627,-2.54251,-0.0169501
-0.00104569,-2.52875,-0.0168583
-0.00104511,-2.52035,-0.0168024
-0.00104453,-2.50793,-0.0167195
-0.00104395,-2.49383,-0.0166255
-0.00104337,-2.47972,-0.0165315
-0.00104279,-2.46663,-0.0164442
-0.00104221,-2.4532,-0.0163547
-0.00104163,-2.44111,-0.0162741
-0.00104105,-2.43104,-0.0162069
-0.00104047,-2.41861,-0.0161241
-0.00103989,-2.40518,-0.0160345
-0.00103931,-2.39141,-0.0159428
-0.00103873,-2.37731,-0.0158487
-0.00103815,-2.36489,-0.0157659
-0.00103757,-2.35616,-0.0157077
-0.00103699,-2.34239,-0.0156159
-0.00103641,-2.32896,-0.0155264
-0.00103583,-2.31687,-0.0154458
-0.00103525,-2.3031,-0.015354
-0.00103467,-2.28934,-0.0152622
-0.00103409,-2.28027,-0.0152018
-0.00103351,-2.26751,-0.0151167
-0.00103293,-2.25341,-0.0150227
-0.00103235,-2.23998,-0.0149332
-0.00103177,-2.22722,-0.0148481
-0.00103119,-2.21379,-0.0147586
-0.00103061,-2.20304,-0.0146869
-0.00103003,-2.1923,-0.0146153
-0.00102945,-2.17887,-0.0145258
-0.00102887,-2.16543,-0.0144362
-0.00102829,-2.15133,-0.0143422
-0.00102771,-2.13824,-0.0142549
-0.00102713,-2.1248,-0.0141654
-0.00102655,-2.11641,-0.0141094
