,#Digilent WaveForms Oscilloscope XY,
,#Device Name: Discovery2,
,#Serial Number: SN:210321AA2225,
,#Date Time: 2019-02-11 12:30:44.188,
,,
Times,Channel2V,Math 1 (A)
-0.00227993,-0.663154,-0.00442103
-0.00227935,-0.676921,-0.00451281
-0.00227877,-0.690352,-0.00460235
-0.00227819,-0.703448,-0.00468965
-0.00227761,-0.717215,-0.00478143
-0.00227703,-0.725609,-0.0048374
-0.00227645,-0.738033,-0.00492022
-0.00227587,-0.752136,-0.00501424
-0.00227529,-0.765231,-0.00510154
-0.00227471,-0.778663,-0.00519108
-0.00227413,-0.791758,-0.00527839
-0.00227355,-0.802839,-0.00535226
-0.00227297,-0.814591,-0.00543061
-0.00227239,-0.827351,-0.00551567
-0.00227181,-0.84011,-0.00560074
-0.00227123,-0.854213,-0.00569475
-0.00227065,-0.868316,-0.00578877
-0.00227007,-0.879061,-0.00586041
-0.00226949,-0.88947,-0.0059298
-0.00226891,-0.902901,-0.00601934
-0.00226833,-0.916668,-0.00611112
-0.00226775,-0.929428,-0.00619619
-0.00226717,-0.942859,-0.00628573
-0.00226659,-0.956626,-0.00637751
-0.00226601,-0.965692,-0.00643795
-0.00226543,-0.978116,-0.00652077
-0.00226485,-0.991883,-0.00661255
-0.00226427,-1.00531,-0.00670209
-0.00226369,-1.01875,-0.00679164
-0.00226311,-1.03218,-0.00688118
-0.00226253,-1.04191,-0.00694609
-0.00226195,-1.05434,-0.00702892
-0.00226137,-1.06777,-0.00711846
-0.00226079,-1.08053,-0.00720353
-0.00226021,-1.09362,-0.00729083
-0.00225963,-1.10706,-0.00738037
-0.00225905,-1.11814,-0.00745424
-0.00225847,-1.12821,-0.0075214
-0.00225789,-1.14164,-0.00761094
-0.00225731,-1.15541,-0.00770272
-0.00225673,-1.16884,-0.00779226
-0.00225615,-1.18193,-0.00787956
-0.00225557,-1.19637,-0.00797582
-0.00225499,-1.20611,-0.00804074
-0.00225441,-1.21853,-0.00812356
-0.00225383,-1.23163,-0.00821087
-0.00225325,-1.24473,-0.00829817
-0.00225267,-1.25748,-0.00838323
-0.00225209,-1.27058,-0.00847054
-0.00225151,-1.28133,-0.00854217
-0.00225093,-1.29375,-0.00862499
-0.00225035,-1.30584,-0.00870558
-0.00224977,-1.31893,-0.00879288
-0.00224919,-1.33236,-0.00888243
-0.00224861,-1.3458,-0.00897197
-0.00224803,-1.35688,-0.00904584
-0.00224745,-1.36829,-0.00912195
-0.00224687,-1.3824,-0.00921597
-0.00224629,-1.39549,-0.00930327
-0.00224571,-1.40926,-0.00939505
-0.00224513,-1.42168,-0.00947788
-0.00224455,-1.43377,-0.00955846
-0.00224397,-1.44351,-0.00962338
-0.00224339,-1.4566,-0.00971068
-0.00224281,-1.47003,-0.00980022
-0.00224223,-1.4838,-0.009892
-0.00224165,-1.49723,-0.00998155
-0.00224107,-1.50966,-0.0100644
-0.00224049,-1.5204,-0.010136
-0.00223991,-1.53249,-0.0102166
-0.00223933,-1.54558,-0.0103039
-0.00223875,-1.55935,-0.0103957
-0.00223817,-1.57345,-0.0104897
-0.00223759,-1.58621,-0.0105748
-0.00223701,-1.59662,-0.0106442
-0.00223643,-1.6077,-0.010718
-0.00223585,-1.62147,-0.0108098
-0.00223527,-1.6349,-0.0108993
-0.00223469,-1.64766,-0.0109844
-0.00223411,-1.66143,-0.0110762
-0.00223353,-1.67352,-0.0111568
-0.00223295,-1.68359,-0.0112239
-0.00223237,-1.69669,-0.0113112
-0.00223179,-1.70978,-0.0113985
-0.00223121,-1.72321,-0.0114881
-0.00223063,-1.73731,-0.0115821
-0.00223005,-1.75007,-0.0116672
-0.00222947,-1.7588,-0.0117254
-0.00222889,-1.77257,-0.0118171
-0.00222831,-1.785,-0.0119
-0.00222773,-1.79809,-0.0119873
-0.00222715,-1.81219,-0.0120813
-0.00222657,-1.82663,-0.0121775
-0.00222599,-1.83738,-0.0122492
-0.00222541,-1.84812,-0.0123208
-0.00222483,-1.86088,-0.0124059
-0.00222425,-1.87364,-0.0124909
-0.00222367,-1.88741,-0.0125827
-0.00222309,-1.90118,-0.0126745
-0.00222251,-1.91293,-0.0127528
-0.00222193,-1.923,-0.01282
-0.00222135,-1.9361,-0.0129073
-0.00222077,-1.94886,-0.0129924
-0.00222019,-1.96162,-0.0130774
-0.00221961,-1.97605,-0.0131737
-0.00221903,-1.98915,-0.013261
-0.00221845,-1.99788,-0.0133192
-0.00221787,-2.01165,-0.013411
-0.00221729,-2.02508,-0.0135005
-0.00221671,-2.03784,-0.0135856
-0.00221613,-2.0506,-0.0136706
-0.00221555,-2.06436,-0.0137624
-0.00221497,-2.0741,-0.0138273
-0.00221439,-2.08686,-0.0139124
-0.00221381,-2.10029,-0.014002
-0.00221323,-2.11372,-0.0140915
-0.00221265,-2.12648,-0.0141766
-0.00221207,-2.13991,-0.0142661
-0.00221149,-2.15133,-0.0143422
-0.00221091,-2.16308,-0.0144206
-0.00221033,-2.17618,-0.0145079
-0.00220975,-2.18927,-0.0145952
-0.00220917,-2.20271,-0.0146847
-0.00220859,-2.21614,-0.0147742
-0.00220801,-2.22856,-0.0148571
-0.00220743,-2.23729,-0.0149153
-0.00220685,-2.25039,-0.0150026
-0.00220627,-2.26449,-0.0150966
-0.00220569,-2.27826,-0.0151884
-0.00220511,-2.29169,-0.0152779
-0.00220453,-2.30579,-0.0153719
-0.00220395,-2.31486,-0.0154324
-0.00220337,-2.32762,-0.0155174
-0.00220279,-2.34038,-0.0156025
-0.00220221,-2.35381,-0.015692
-0.00220163,-2.36657,-0.0157771
-0.00220105,-2.38,-0.0158666
-0.00220047,-2.39041,-0.015936
-0.00219989,-2.40249,-0.0160166
-0.00219931,-2.41458,-0.0160972
-0.00219873,-2.42835,-0.016189
-0.00219815,-2.44279,-0.0162853
-0.00219757,-2.45656,-0.016377
-0.00219699,-2.46831,-0.0164554
-0.00219641,-2.47737,-0.0165158
-0.00219583,-2.4908,-0.0166054
-0.00219525,-2.50491,-0.0166994
-0.00219467,-2.51834,-0.0167889
-0.00219409,-2.5311,-0.016874
-0.00219351,-2.54453,-0.0169635
-0.00219293,-2.55326,-0.0170217
-0.00219235,-2.56703,-0.0171135
-0.00219177,-2.58046,-0.0172031
-0.00219119,-2.59423,-0.0172948
-0.00219061,-2.60698,-0.0173799
-0.00219003,-2.62042,-0.0174694
-0.00218945,-2.63083,-0.0175388
-0.00218887,-2.64258,-0.0176172
-0.00218829,-2.65634,-0.017709
-0.00218771,-2.66944,-0.0177963
-0.00218713,-2.68321,-0.017888
-0.00218655,-2.6963,-0.0179753
-0.00218597,-2.70839,-0.0180559
-0.00218539,-2.71813,-0.0181209
-0.00218481,-2.73122,-0.0182082
-0.00218423,-2.74432,-0.0182955
-0.00218365,-2.75103,-0.0183402
-0.00218307,-2.75103,-0.0183402
-0.00218249,-2.75103,-0.0183402
-0.00218191,-2.75103,-0.0183402
-0.00218133,-2.75103,-0.0183402
-0.00218075,-2.75103,-0.0183402
-0.00218017,-2.75103,-0.0183402
-0.00217959,-2.75103,-0.0183402
-0.00217901,-2.75103,-0.0183402
-0.00217843,-2.75103,-0.0183402
-0.00217785,-2.75103,-0.0183402
-0.00217727,-2.75103,-0.0183402
-0.00217669,-2.75103,-0.0183402
-0.00217611,-2.75103,-0.0183402
-0.00217553,-2.75103,-0.0183402
-0.00217495,-2.75103,-0.0183402
-0.00217437,-2.75103,-0.0183402
-0.00217379,-2.75103,-0.0183402
-0.00217321,-2.75103,-0.0183402
-0.00217263,-2.75103,-0.0183402
-0.00217205,-2.75103,-0.0183402
-0.00217147,-2.75103,-0.0183402
-0.00217089,-2.75103,-0.0183402
-0.00217031,-2.75103,-0.0183402
-0.00216973,-2.75103,-0.0183402
-0.00216915,-2.75103,-0.0183402
-0.00216857,-2.75103,-0.0183402
-0.00216799,-2.75103,-0.0183402
-0.00216741,-2.75103,-0.0183402
-0.00216683,-2.75103,-0.0183402
-0.00216625,-2.75103,-0.0183402
-0.00216567,-2.75103,-0.0183402
-0.00216509,-2.75103,-0.0183402
-0.00216451,-2.75103,-0.0183402
-0.00216393,-2.75103,-0.0183402
-0.00216335,-2.75103,-0.0183402
-0.00216277,-2.75103,-0.0183402
-0.00216219,-2.75103,-0.0183402
-0.00216161,-2.75103,-0.0183402
-0.00216103,-2.75103,-0.0183402
-0.00216045,-2.75103,-0.0183402
-0.00215987,-2.75103,-0.0183402
-0.00215929,-2.75103,-0.0183402
-0.00215871,-2.75103,-0.0183402
-0.00215813,-2.75103,-0.0183402
-0.00215755,-2.75103,-0.0183402
-0.00215697,-2.75103,-0.0183402
-0.00215639,-2.75103,-0.0183402
-0.00215581,-2.75103,-0.0183402
-0.00215523,-2.75103,-0.0183402
-0.00215465,-2.75103,-0.0183402
-0.00215407,-2.75103,-0.0183402
-0.00215349,-2.75103,-0.0183402
-0.00215291,-2.75103,-0.0183402
-0.00215233,-2.75103,-0.0183402
-0.00215175,-2.75103,-0.0183402
-0.00215117,-2.75103,-0.0183402
-0.00215059,-2.75103,-0.0183402
-0.00215001,-2.75103,-0.0183402
-0.00214943,-2.75103,-0.0183402
-0.00214885,-2.75103,-0.0183402
-0.00214827,-2.75103,-0.0183402
-0.00214769,-2.75103,-0.0183402
-0.00214711,-2.75103,-0.0183402
-0.00214653,-2.75103,-0.0183402
-0.00214595,-2.75103,-0.0183402
-0.00214537,-2.75103,-0.0183402
-0.00214479,-2.75103,-0.0183402
-0.00214421,-2.75103,-0.0183402
-0.00214363,-2.75103,-0.0183402
-0.00214305,-2.75103,-0.0183402
-0.00214247,-2.75103,-0.0183402
-0.00214189,-2.75103,-0.0183402
-0.00214131,-2.75103,-0.0183402
-0.00214073,-2.75103,-0.0183402
-0.00214015,-2.75103,-0.0183402
-0.00213957,-2.75103,-0.0183402
-0.00213899,-2.75103,-0.0183402
-0.00213841,-2.75103,-0.0183402
-0.00213783,-2.75103,-0.0183402
-0.00213725,-2.75103,-0.0183402
-0.00213667,-2.75103,-0.0183402
