#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:31:11.950,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of small resistor (470): Range: 500 mV/div Offset: 0 V,,
#current of small resistor: Function: C1 / 470,,
,,
Time (s),voltage of small resistor (470) (V),current of small resistor (mA)
-0.992,2.36E-05,5.03E-08
-0.99175,2.36E-05,5.03E-08
-0.9915,2.36E-05,5.03E-08
-0.99125,2.36E-05,5.03E-08
-0.991,2.36E-05,5.03E-08
-0.99075,2.36E-05,5.03E-08
-0.9905,2.36E-05,5.03E-08
-0.99025,2.36E-05,5.03E-08
-0.99,2.36E-05,5.03E-08
-0.98975,2.36E-05,5.03E-08
-0.9895,2.36E-05,5.03E-08
-0.98925,2.36E-05,5.03E-08
-0.989,2.36E-05,5.03E-08
-0.98875,2.36E-05,5.03E-08
-0.9885,2.36E-05,5.03E-08
-0.98825,2.36E-05,5.03E-08
-0.988,2.36E-05,5.03E-08
-0.98775,2.36E-05,5.03E-08
-0.9875,2.36E-05,5.03E-08
-0.98725,2.36E-05,5.03E-08
-0.987,2.36E-05,5.03E-08
-0.98675,2.36E-05,5.03E-08
-0.9865,2.36E-05,5.03E-08
-0.98625,2.36E-05,5.03E-08
-0.986,2.36E-05,5.03E-08
-0.98575,2.36E-05,5.03E-08
-0.9855,2.36E-05,5.03E-08
-0.98525,2.36E-05,5.03E-08
-0.985,2.36E-05,5.03E-08
-0.98475,2.36E-05,5.03E-08
-0.9845,2.36E-05,5.03E-08
-0.98425,2.36E-05,5.03E-08
-0.984,2.36E-05,5.03E-08
-0.98375,2.36E-05,5.03E-08
-0.9835,2.36E-05,5.03E-08
-0.98325,2.36E-05,5.03E-08
-0.983,2.36E-05,5.03E-08
-0.98275,2.36E-05,5.03E-08
-0.9825,2.36E-05,5.03E-08
-0.98225,2.36E-05,5.03E-08
-0.982,2.36E-05,5.03E-08
-0.98175,2.36E-05,5.03E-08
-0.9815,2.36E-05,5.03E-08
-0.98125,0.000359735,7.65E-07
-0.981,2.36E-05,5.03E-08
-0.98075,2.36E-05,5.03E-08
-0.9805,2.36E-05,5.03E-08
-0.98025,0.000359735,7.65E-07
-0.98,2.36E-05,5.03E-08
-0.97975,2.36E-05,5.03E-08
-0.9795,2.36E-05,5.03E-08
-0.97925,2.36E-05,5.03E-08
-0.979,2.36E-05,5.03E-08
-0.97875,2.36E-05,5.03E-08
-0.9785,2.36E-05,5.03E-08
-0.97825,2.36E-05,5.03E-08
-0.978,2.36E-05,5.03E-08
-0.97775,0.000359735,7.65E-07
-0.9775,2.36E-05,5.03E-08
-0.97725,2.36E-05,5.03E-08
-0.977,2.36E-05,5.03E-08
-0.97675,2.36E-05,5.03E-08
-0.9765,0.000359735,7.65E-07
-0.97625,0.000359735,7.65E-07
-0.976,2.36E-05,5.03E-08
-0.97575,0.000359735,7.65E-07
-0.9755,0.000359735,7.65E-07
-0.97525,0.000359735,7.65E-07
-0.975,0.000359735,7.65E-07
-0.97475,0.000359735,7.65E-07
-0.9745,0.000359735,7.65E-07
-0.97425,0.000359735,7.65E-07
-0.974,0.000359735,7.65E-07
-0.97375,0.000359735,7.65E-07
-0.9735,0.000359735,7.65E-07
-0.97325,0.000359735,7.65E-07
-0.973,0.000359735,7.65E-07
-0.97275,0.000359735,7.65E-07
-0.9725,0.000359735,7.65E-07
-0.97225,0.000359735,7.65E-07
-0.972,0.000359735,7.65E-07
-0.97175,0.000359735,7.65E-07
-0.9715,0.000359735,7.65E-07
-0.97125,0.000359735,7.65E-07
-0.971,0.000359735,7.65E-07
-0.97075,0.000359735,7.65E-07
-0.9705,0.000359735,7.65E-07
-0.97025,0.000359735,7.65E-07
-0.97,0.000359735,7.65E-07
-0.96975,0.000359735,7.65E-07
-0.9695,0.000359735,7.65E-07
-0.96925,0.000359735,7.65E-07
-0.969,0.000359735,7.65E-07
-0.96875,0.000359735,7.65E-07
-0.9685,0.000359735,7.65E-07
-0.96825,0.000359735,7.65E-07
-0.968,0.000359735,7.65E-07
-0.96775,0.000359735,7.65E-07
-0.9675,0.000359735,7.65E-07
-0.96725,0.000359735,7.65E-07
-0.967,0.000359735,7.65E-07
-0.96675,0.000359735,7.65E-07
-0.9665,0.000359735,7.65E-07
-0.96625,0.000359735,7.65E-07
-0.966,0.000359735,7.65E-07
-0.96575,0.000359735,7.65E-07
-0.9655,0.000359735,7.65E-07
-0.96525,0.000359735,7.65E-07
-0.965,0.000359735,7.65E-07
-0.96475,0.000359735,7.65E-07
-0.9645,0.000359735,7.65E-07
-0.96425,0.000359735,7.65E-07
-0.964,0.000359735,7.65E-07
-0.96375,0.000359735,7.65E-07
-0.9635,0.000359735,7.65E-07
-0.96325,0.000359735,7.65E-07
-0.963,0.000359735,7.65E-07
-0.96275,0.000359735,7.65E-07
-0.9625,0.000359735,7.65E-07
-0.96225,0.000359735,7.65E-07
-0.962,0.000359735,7.65E-07
-0.96175,0.000359735,7.65E-07
-0.9615,0.000359735,7.65E-07
-0.96125,0.000359735,7.65E-07
-0.961,0.000695827,1.48E-06
-0.96075,0.000695827,1.48E-06
-0.9605,0.000695827,1.48E-06
-0.96025,0.000695827,1.48E-06
-0.96,0.000695827,1.48E-06
-0.95975,0.000695827,1.48E-06
-0.9595,0.000695827,1.48E-06
-0.95925,0.000695827,1.48E-06
-0.959,0.000359735,7.65E-07
-0.95875,0.000359735,7.65E-07
-0.9585,0.000695827,1.48E-06
-0.95825,0.000695827,1.48E-06
-0.958,0.000695827,1.48E-06
-0.95775,0.000695827,1.48E-06
-0.9575,0.000695827,1.48E-06
-0.95725,0.000695827,1.48E-06
-0.957,0.000695827,1.48E-06
-0.95675,0.000695827,1.48E-06
-0.9565,0.000695827,1.48E-06
-0.95625,0.000695827,1.48E-06
-0.956,0.000695827,1.48E-06
-0.95575,0.000695827,1.48E-06
-0.9555,0.000695827,1.48E-06
-0.95525,0.00103192,2.20E-06
-0.955,0.000695827,1.48E-06
-0.95475,0.00103192,2.20E-06
-0.9545,0.000695827,1.48E-06
-0.95425,0.00103192,2.20E-06
-0.954,0.00103192,2.20E-06
-0.95375,0.00103192,2.20E-06
-0.9535,0.00103192,2.20E-06
-0.95325,0.00103192,2.20E-06
-0.953,0.00103192,2.20E-06
-0.95275,0.00103192,2.20E-06
-0.9525,0.00103192,2.20E-06
-0.95225,0.00103192,2.20E-06
-0.952,0.00103192,2.20E-06
-0.95175,0.00103192,2.20E-06
-0.9515,0.00103192,2.20E-06
-0.95125,0.00103192,2.20E-06
-0.951,0.00103192,2.20E-06
-0.95075,0.00103192,2.20E-06
-0.9505,0.00136801,2.91E-06
-0.95025,0.00103192,2.20E-06
-0.95,0.00136801,2.91E-06
-0.94975,0.00136801,2.91E-06
-0.9495,0.00136801,2.91E-06
-0.94925,0.00136801,2.91E-06
-0.949,0.00136801,2.91E-06
-0.94875,0.00136801,2.91E-06
-0.9485,0.00136801,2.91E-06
-0.94825,0.00136801,2.91E-06
-0.948,0.00136801,2.91E-06
-0.94775,0.00136801,2.91E-06
-0.9475,0.0017041,3.63E-06
-0.94725,0.00136801,2.91E-06
-0.947,0.00136801,2.91E-06
-0.94675,0.0017041,3.63E-06
-0.9465,0.0017041,3.63E-06
-0.94625,0.0017041,3.63E-06
-0.946,0.0017041,3.63E-06
-0.94575,0.0017041,3.63E-06
-0.9455,0.0017041,3.63E-06
-0.94525,0.0017041,3.63E-06
-0.945,0.0017041,3.63E-06
-0.94475,0.0017041,3.63E-06
-0.9445,0.0017041,3.63E-06
-0.94425,0.0017041,3.63E-06
-0.944,0.0020402,4.34E-06
-0.94375,0.0020402,4.34E-06
-0.9435,0.0020402,4.34E-06
-0.94325,0.0020402,4.34E-06
-0.943,0.0020402,4.34E-06
-0.94275,0.0020402,4.34E-06
-0.9425,0.0020402,4.34E-06
-0.94225,0.00237629,5.06E-06
-0.942,0.00237629,5.06E-06
-0.94175,0.00237629,5.06E-06
-0.9415,0.00237629,5.06E-06
-0.94125,0.00237629,5.06E-06
-0.941,0.00271238,5.77E-06
-0.94075,0.00271238,5.77E-06
-0.9405,0.00271238,5.77E-06
-0.94025,0.00304847,6.49E-06
-0.94,0.00304847,6.49E-06
-0.93975,0.00304847,6.49E-06
-0.9395,0.00338456,7.20E-06
-0.93925,0.00338456,7.20E-06
-0.939,0.00372066,7.92E-06
-0.93875,0.00405675,8.63E-06
-0.9385,0.00405675,8.63E-06
-0.93825,0.00472893,1.01E-05
-0.938,0.00573721,1.22E-05
-0.93775,0.245707,0.000522781
-0.9375,1.29364,0.00275243
-0.93725,1.28927,0.00274313
-0.937,1.28558,0.00273527
-0.93675,1.28121,0.00272597
-0.9365,1.27751,0.0027181
