#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:31:11.950,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of small resistor (470): Range: 500 mV/div Offset: 0 V,,
#current of small resistor: Function: C1 / 470,,
,,
Time (s),voltage of small resistor (470) (V),current of small resistor (mA)
-0.5895,0.930998,0.00198085
-0.58925,0.927974,0.00197441
-0.589,0.925285,0.00196869
-0.58875,0.92226,0.00196226
-0.5885,0.919571,0.00195653
-0.58825,0.916546,0.0019501
-0.588,0.913522,0.00194366
-0.58775,0.910497,0.00193723
-0.5875,0.907808,0.00193151
-0.58725,0.904783,0.00192507
-0.587,0.902095,0.00191935
-0.58675,0.89907,0.00191291
-0.5865,0.896045,0.00190648
-0.58625,0.893356,0.00190076
-0.586,0.890331,0.00189432
-0.58575,0.887643,0.0018886
-0.5855,0.884618,0.00188217
-0.58525,0.881929,0.00187644
-0.585,0.87924,0.00187072
-0.58475,0.876215,0.00186429
-0.5845,0.873191,0.00185785
-0.58425,0.870502,0.00185213
-0.584,0.867813,0.00184641
-0.58375,0.865124,0.00184069
-0.5835,0.8621,0.00183425
-0.58325,0.859411,0.00182853
-0.583,0.856386,0.0018221
-0.58275,0.853697,0.00181638
-0.5825,0.851009,0.00181066
-0.58225,0.847984,0.00180422
-0.582,0.845295,0.0017985
-0.58175,0.842606,0.00179278
-0.5815,0.839918,0.00178706
-0.58125,0.836893,0.00178062
-0.581,0.834204,0.0017749
-0.58075,0.831515,0.00176918
-0.5805,0.828826,0.00176346
-0.58025,0.826138,0.00175774
-0.58,0.823113,0.0017513
-0.57975,0.820424,0.00174558
-0.5795,0.817735,0.00173986
-0.57925,0.815047,0.00173414
-0.579,0.812358,0.00172842
-0.57875,0.809669,0.0017227
-0.5785,0.80698,0.00171698
-0.57825,0.804292,0.00171126
-0.578,0.801603,0.00170554
-0.57775,0.798914,0.00169982
-0.5775,0.796226,0.0016941
-0.57725,0.793537,0.00168838
-0.577,0.790848,0.00168266
-0.57675,0.788159,0.00167693
-0.5765,0.785135,0.0016705
-0.57625,0.782446,0.00166478
-0.576,0.780093,0.00165977
-0.57575,0.777404,0.00165405
-0.5755,0.77438,0.00164762
-0.57525,0.772027,0.00164261
-0.575,0.769002,0.00163617
-0.57475,0.766313,0.00163045
-0.5745,0.763961,0.00162545
-0.57425,0.761272,0.00161973
-0.574,0.758583,0.00161401
-0.57375,0.755895,0.00160829
-0.5735,0.753206,0.00160257
-0.57325,0.750517,0.00159684
-0.573,0.747828,0.00159112
-0.57275,0.74514,0.0015854
-0.5725,0.742451,0.00157968
-0.57225,0.740098,0.00157468
-0.572,0.737073,0.00156824
-0.57175,0.734721,0.00156324
-0.5715,0.732032,0.00155751
-0.57125,0.729343,0.00155179
-0.571,0.726655,0.00154607
-0.57075,0.723966,0.00154035
-0.5705,0.721277,0.00153463
-0.57025,0.718588,0.00152891
-0.57,0.716236,0.00152391
-0.56975,0.713547,0.00151818
-0.5695,0.710858,0.00151246
-0.56925,0.708169,0.00150674
-0.569,0.705817,0.00150174
-0.56875,0.703128,0.00149602
-0.5685,0.700439,0.0014903
-0.56825,0.697751,0.00148458
-0.568,0.695062,0.00147886
-0.56775,0.692709,0.00147385
-0.5675,0.69002,0.00146813
-0.56725,0.687332,0.00146241
-0.567,0.684643,0.00145669
-0.56675,0.681954,0.00145097
-0.5665,0.679266,0.00144525
-0.56625,0.676913,0.00144024
-0.566,0.674224,0.00143452
-0.56575,0.671872,0.00142951
-0.5655,0.669183,0.00142379
-0.56525,0.666494,0.00141807
-0.565,0.664141,0.00141307
-0.56475,0.661453,0.00140735
-0.5645,0.658764,0.00140163
-0.56425,0.656075,0.0013959
-0.564,0.653386,0.00139018
-0.56375,0.650698,0.00138446
-0.5635,0.648345,0.00137946
-0.56325,0.645656,0.00137374
-0.563,0.642968,0.00136802
-0.56275,0.640279,0.0013623
-0.5625,0.637926,0.00135729
-0.56225,0.635237,0.00135157
-0.562,0.632549,0.00134585
-0.56175,0.630196,0.00134084
-0.5615,0.627507,0.00133512
-0.56125,0.624819,0.0013294
-0.561,0.62213,0.00132368
-0.56075,0.619441,0.00131796
-0.5605,0.617089,0.00131295
-0.56025,0.614064,0.00130652
-0.56,0.611375,0.0013008
-0.55975,0.609022,0.00129579
-0.5595,0.606334,0.00129007
-0.55925,0.603645,0.00128435
-0.559,0.601292,0.00127935
-0.55875,0.598267,0.00127291
-0.5585,0.595915,0.0012679
-0.55825,0.593226,0.00126218
-0.558,0.590537,0.00125646
-0.55775,0.587849,0.00125074
-0.5575,0.58516,0.00124502
-0.55725,0.582471,0.0012393
-0.557,0.579782,0.00123358
-0.55675,0.577094,0.00122786
-0.5565,0.574405,0.00122214
-0.55625,0.571716,0.00121642
-0.556,0.568691,0.00120998
-0.55575,0.566003,0.00120426
-0.5555,0.56365,0.00119926
-0.55525,0.560625,0.00119282
-0.555,0.557936,0.0011871
-0.55475,0.555248,0.00118138
-0.5545,0.552559,0.00117566
-0.55425,0.549534,0.00116922
-0.554,0.546845,0.0011635
-0.55375,0.544157,0.00115778
-0.5535,0.541468,0.00115206
-0.55325,0.538443,0.00114562
-0.553,0.535418,0.00113919
-0.55275,0.532393,0.00113275
-0.5525,0.529705,0.00112703
-0.55225,0.52668,0.0011206
-0.552,0.523991,0.00111487
-0.55175,0.520966,0.00110844
-0.5515,0.517941,0.001102
-0.55125,0.514917,0.00109557
-0.551,0.512228,0.00108985
-0.55075,0.509203,0.00108341
-0.5505,0.505842,0.00107626
-0.55025,0.503153,0.00107054
-0.55,0.499792,0.00106339
-0.54975,0.496768,0.00105695
-0.5495,0.493407,0.0010498
-0.54925,0.490382,0.00104337
-0.549,0.487021,0.00103621
-0.54875,0.48366,0.00102906
-0.5485,0.480299,0.00102191
-0.54825,0.476938,0.00101476
-0.548,0.473577,0.00100761
-0.54775,0.46988,0.000999745
-0.5475,0.466183,0.000991879
-0.54725,0.462486,0.000984013
-0.547,0.458789,0.000976147
-0.54675,0.454756,0.000967566
-0.5465,0.450723,0.000958985
-0.54625,0.446354,0.000949689
-0.546,0.441985,0.000940393
-0.54575,0.437279,0.000930382
-0.5455,0.432238,0.000919655
-0.54525,0.42686,0.000908214
-0.545,0.421147,0.000896057
-0.54475,0.414089,0.00088104
-0.5445,0.406023,0.000863878
-0.54425,0.394596,0.000839565
-0.544,0.358634,0.000763051
-0.54375,0.0144756,3.08E-05
-0.5435,-0.000312449,-6.65E-07
-0.54325,-0.000312449,-6.65E-07
-0.543,-0.000312449,-6.65E-07
-0.54275,-0.000312449,-6.65E-07
-0.5425,-0.000312449,-6.65E-07
-0.54225,-0.000312449,-6.65E-07
-0.542,-0.000312449,-6.65E-07
-0.54175,-0.000312449,-6.65E-07
-0.5415,-0.000312449,-6.65E-07
-0.54125,-0.000312449,-6.65E-07
-0.541,-0.000312449,-6.65E-07
-0.54075,-0.000312449,-6.65E-07
-0.5405,-0.000312449,-6.65E-07
-0.54025,-0.000312449,-6.65E-07
-0.54,-0.000312449,-6.65E-07
-0.53975,-0.000312449,-6.65E-07
-0.5395,-0.000312449,-6.65E-07
-0.53925,-0.000312449,-6.65E-07
-0.539,-0.000312449,-6.65E-07
-0.53875,-0.000312449,-6.65E-07
-0.5385,-0.000312449,-6.65E-07
-0.53825,-0.000312449,-6.65E-07
-0.538,-0.000312449,-6.65E-07
-0.53775,-0.000312449,-6.65E-07
-0.5375,-0.000312449,-6.65E-07
-0.53725,-0.000312449,-6.65E-07
-0.537,-0.000648541,-1.38E-06
-0.53675,-0.000312449,-6.65E-07
-0.5365,-0.000312449,-6.65E-07
-0.53625,-0.000312449,-6.65E-07
-0.536,-0.000312449,-6.65E-07
-0.53575,-0.000312449,-6.65E-07
-0.5355,-0.000312449,-6.65E-07
-0.53525,-0.000312449,-6.65E-07
-0.535,-0.000312449,-6.65E-07
-0.53475,-0.000312449,-6.65E-07
-0.5345,-0.000312449,-6.65E-07
-0.53425,-0.000312449,-6.65E-07
-0.534,-0.000312449,-6.65E-07
-0.53375,-0.000312449,-6.65E-07
-0.5335,-0.000312449,-6.65E-07
-0.53325,-0.000312449,-6.65E-07
-0.533,-0.000312449,-6.65E-07
-0.53275,-0.000312449,-6.65E-07
-0.5325,-0.000312449,-6.65E-07
-0.53225,-0.000312449,-6.65E-07
-0.532,-0.000312449,-6.65E-07
-0.53175,-0.000312449,-6.65E-07
-0.5315,-0.000312449,-6.65E-07
-0.53125,-0.000312449,-6.65E-07
-0.531,-0.000312449,-6.65E-07
-0.53075,-0.000312449,-6.65E-07
-0.5305,-0.000312449,-6.65E-07
-0.53025,-0.000312449,-6.65E-07
-0.53,-0.000312449,-6.65E-07
-0.52975,-0.000312449,-6.65E-07
-0.5295,-0.000312449,-6.65E-07
-0.52925,-0.000312449,-6.65E-07
-0.529,-0.000312449,-6.65E-07
-0.52875,-0.000312449,-6.65E-07
-0.5285,-0.000312449,-6.65E-07
-0.52825,-0.000312449,-6.65E-07
-0.528,-0.000648541,-1.38E-06
-0.52775,-0.000312449,-6.65E-07
-0.5275,-0.000312449,-6.65E-07
-0.52725,-0.000312449,-6.65E-07
-0.527,-0.000312449,-6.65E-07
-0.52675,-0.000312449,-6.65E-07
-0.5265,-0.000312449,-6.65E-07
-0.52625,-0.000312449,-6.65E-07
-0.526,-0.000312449,-6.65E-07
-0.52575,-0.000312449,-6.65E-07
-0.5255,-0.000312449,-6.65E-07
-0.52525,-0.000312449,-6.65E-07
-0.525,-0.000312449,-6.65E-07
-0.52475,-0.000312449,-6.65E-07
-0.5245,-0.000312449,-6.65E-07
-0.52425,-0.000312449,-6.65E-07
-0.524,-0.000312449,-6.65E-07
-0.52375,-0.000312449,-6.65E-07
-0.5235,-0.000312449,-6.65E-07
-0.52325,-0.000312449,-6.65E-07
-0.523,-0.000312449,-6.65E-07
-0.52275,-0.000648541,-1.38E-06
-0.5225,-0.000312449,-6.65E-07
-0.52225,-0.000312449,-6.65E-07
-0.522,-0.000312449,-6.65E-07
-0.52175,-0.000312449,-6.65E-07
-0.5215,-0.000312449,-6.65E-07
-0.52125,-0.000312449,-6.65E-07
-0.521,-0.000312449,-6.65E-07
-0.52075,-0.000312449,-6.65E-07
-0.5205,-0.000312449,-6.65E-07
-0.52025,-0.000312449,-6.65E-07
-0.52,-0.000312449,-6.65E-07
-0.51975,-0.000312449,-6.65E-07
-0.5195,-0.000312449,-6.65E-07
-0.51925,-0.000312449,-6.65E-07
-0.519,-0.000312449,-6.65E-07
-0.51875,-0.000312449,-6.65E-07
-0.5185,-0.000312449,-6.65E-07
-0.51825,-0.000312449,-6.65E-07
-0.518,-0.000312449,-6.65E-07
-0.51775,-0.000312449,-6.65E-07
-0.5175,-0.000312449,-6.65E-07
-0.51725,-0.000312449,-6.65E-07
-0.517,-0.000312449,-6.65E-07
-0.51675,-0.000312449,-6.65E-07
-0.5165,-0.000312449,-6.65E-07
-0.51625,-0.000312449,-6.65E-07
-0.516,-0.000312449,-6.65E-07
-0.51575,-0.000312449,-6.65E-07
-0.5155,-0.000312449,-6.65E-07
-0.51525,-0.000312449,-6.65E-07
-0.515,-0.000312449,-6.65E-07
-0.51475,-0.000312449,-6.65E-07
-0.5145,-0.000312449,-6.65E-07
-0.51425,-0.000312449,-6.65E-07
-0.514,-0.000312449,-6.65E-07
-0.51375,-0.000312449,-6.65E-07
-0.5135,-0.000312449,-6.65E-07
-0.51325,-0.000312449,-6.65E-07
-0.513,-0.000312449,-6.65E-07
-0.51275,-0.000312449,-6.65E-07
-0.5125,-0.000312449,-6.65E-07
-0.51225,-0.000312449,-6.65E-07
-0.512,-0.000312449,-6.65E-07
-0.51175,-0.000312449,-6.65E-07
-0.5115,-0.000648541,-1.38E-06
-0.51125,-0.000312449,-6.65E-07
-0.511,-0.000312449,-6.65E-07
-0.51075,-0.000312449,-6.65E-07
-0.5105,-0.000312449,-6.65E-07
-0.51025,-0.000312449,-6.65E-07
-0.51,-0.000312449,-6.65E-07
-0.50975,-0.000312449,-6.65E-07
-0.5095,-0.000312449,-6.65E-07
-0.50925,-0.000312449,-6.65E-07
-0.509,-0.000312449,-6.65E-07
-0.50875,-0.000312449,-6.65E-07
-0.5085,-0.000312449,-6.65E-07
-0.50825,-0.000312449,-6.65E-07
-0.508,-0.000312449,-6.65E-07
-0.50775,-0.000312449,-6.65E-07
-0.5075,-0.000312449,-6.65E-07
-0.50725,-0.000312449,-6.65E-07
-0.507,-0.000312449,-6.65E-07
-0.50675,-0.000312449,-6.65E-07
-0.5065,-0.000312449,-6.65E-07
-0.50625,-0.000312449,-6.65E-07
-0.506,-0.000312449,-6.65E-07
-0.50575,-0.000312449,-6.65E-07
-0.5055,-0.000312449,-6.65E-07
-0.50525,-0.000312449,-6.65E-07
-0.505,-0.000312449,-6.65E-07
-0.50475,-0.000312449,-6.65E-07
-0.5045,-0.000312449,-6.65E-07
-0.50425,-0.000312449,-6.65E-07
-0.504,-0.000312449,-6.65E-07
-0.50375,-0.000312449,-6.65E-07
-0.5035,-0.000312449,-6.65E-07
-0.50325,-0.000312449,-6.65E-07
-0.503,-0.000312449,-6.65E-07
-0.50275,-0.000312449,-6.65E-07
-0.5025,-0.000312449,-6.65E-07
-0.50225,-0.000312449,-6.65E-07
-0.502,-0.000312449,-6.65E-07
-0.50175,-0.000312449,-6.65E-07
-0.5015,-0.000312449,-6.65E-07
-0.50125,-0.000312449,-6.65E-07
-0.501,-0.000312449,-6.65E-07
-0.50075,-0.000312449,-6.65E-07
-0.5005,-0.000312449,-6.65E-07
-0.50025,-0.000312449,-6.65E-07
-0.5,-0.000312449,-6.65E-07
-0.49975,-0.000312449,-6.65E-07
-0.4995,-0.000312449,-6.65E-07
-0.49925,-0.000312449,-6.65E-07
-0.499,-0.000312449,-6.65E-07
-0.49875,-0.000312449,-6.65E-07
-0.4985,-0.000312449,-6.65E-07
-0.49825,-0.000312449,-6.65E-07
-0.498,-0.000312449,-6.65E-07
-0.49775,-0.000312449,-6.65E-07
-0.4975,-0.000312449,-6.65E-07
-0.49725,-0.000312449,-6.65E-07
-0.497,-0.000312449,-6.65E-07
-0.49675,-0.000312449,-6.65E-07
-0.4965,-0.000312449,-6.65E-07
-0.49625,-0.000312449,-6.65E-07
-0.496,-0.000312449,-6.65E-07
-0.49575,-0.000312449,-6.65E-07
-0.4955,-0.000312449,-6.65E-07
-0.49525,-0.000312449,-6.65E-07
-0.495,-0.000312449,-6.65E-07
-0.49475,-0.000312449,-6.65E-07
-0.4945,-0.000312449,-6.65E-07
-0.49425,-0.000312449,-6.65E-07
-0.494,-0.000312449,-6.65E-07
-0.49375,-0.000312449,-6.65E-07
-0.4935,-0.000312449,-6.65E-07
-0.49325,-0.000312449,-6.65E-07
-0.493,-0.000312449,-6.65E-07
-0.49275,-0.000312449,-6.65E-07
-0.4925,-0.000312449,-6.65E-07
-0.49225,-0.000312449,-6.65E-07
-0.492,-0.000312449,-6.65E-07
-0.49175,-0.000312449,-6.65E-07
-0.4915,-0.000312449,-6.65E-07
-0.49125,-0.000312449,-6.65E-07
-0.491,-0.000312449,-6.65E-07
-0.49075,-0.000312449,-6.65E-07
-0.4905,-0.000312449,-6.65E-07
-0.49025,-0.000312449,-6.65E-07
-0.49,-0.000312449,-6.65E-07
-0.48975,-0.000312449,-6.65E-07
-0.4895,-0.000312449,-6.65E-07
-0.48925,-0.000312449,-6.65E-07
-0.489,-0.000312449,-6.65E-07
-0.48875,-0.000312449,-6.65E-07
-0.4885,-0.000312449,-6.65E-07
-0.48825,-0.000312449,-6.65E-07
-0.488,-0.000312449,-6.65E-07
-0.48775,-0.000312449,-6.65E-07
-0.4875,-0.000312449,-6.65E-07
-0.48725,-0.000312449,-6.65E-07
-0.487,-0.000312449,-6.65E-07
-0.48675,-0.000312449,-6.65E-07
-0.4865,-0.000312449,-6.65E-07
-0.48625,-0.000312449,-6.65E-07
-0.486,-0.000312449,-6.65E-07
-0.48575,-0.000312449,-6.65E-07
-0.4855,-0.000312449,-6.65E-07
-0.48525,-0.000312449,-6.65E-07
-0.485,-0.000312449,-6.65E-07
-0.48475,-0.000312449,-6.65E-07
-0.4845,-0.000312449,-6.65E-07
-0.48425,-0.000312449,-6.65E-07
-0.484,-0.000312449,-6.65E-07
-0.48375,-0.000312449,-6.65E-07
-0.4835,-0.000312449,-6.65E-07
-0.48325,-0.000312449,-6.65E-07
-0.483,-0.000312449,-6.65E-07
-0.48275,-0.000312449,-6.65E-07
-0.4825,-0.000312449,-6.65E-07
-0.48225,-0.000312449,-6.65E-07
-0.482,-0.000312449,-6.65E-07
-0.48175,-0.000312449,-6.65E-07
-0.4815,-0.000312449,-6.65E-07
-0.48125,-0.000312449,-6.65E-07
-0.481,-0.000312449,-6.65E-07
-0.48075,-0.000312449,-6.65E-07
-0.4805,-0.000312449,-6.65E-07
-0.48025,-0.000312449,-6.65E-07
-0.48,-0.000312449,-6.65E-07
-0.47975,-0.000312449,-6.65E-07
-0.4795,-0.000312449,-6.65E-07
-0.47925,-0.000312449,-6.65E-07
-0.479,-0.000312449,-6.65E-07
-0.47875,-0.000312449,-6.65E-07
-0.4785,-0.000312449,-6.65E-07
-0.47825,-0.000312449,-6.65E-07
-0.478,-0.000312449,-6.65E-07
-0.47775,-0.000312449,-6.65E-07
-0.4775,-0.000312449,-6.65E-07
-0.47725,-0.000312449,-6.65E-07
-0.477,-0.000312449,-6.65E-07
-0.47675,-0.000312449,-6.65E-07
-0.4765,-0.000312449,-6.65E-07
-0.47625,-0.000312449,-6.65E-07
-0.476,-0.000312449,-6.65E-07
-0.47575,-0.000312449,-6.65E-07
-0.4755,-0.000312449,-6.65E-07
-0.47525,-0.000312449,-6.65E-07
-0.475,-0.000312449,-6.65E-07
-0.47475,-0.000312449,-6.65E-07
-0.4745,-0.000312449,-6.65E-07
-0.47425,-0.000312449,-6.65E-07
-0.474,-0.000312449,-6.65E-07
-0.47375,-0.000312449,-6.65E-07
-0.4735,-0.000312449,-6.65E-07
-0.47325,-0.000312449,-6.65E-07
-0.473,-0.000312449,-6.65E-07
-0.47275,-0.000312449,-6.65E-07
-0.4725,-0.000312449,-6.65E-07
-0.47225,-0.000312449,-6.65E-07
-0.472,-0.000312449,-6.65E-07
-0.47175,-0.000312449,-6.65E-07
-0.4715,-0.000312449,-6.65E-07
-0.47125,-0.000312449,-6.65E-07
-0.471,-0.000312449,-6.65E-07
-0.47075,-0.000312449,-6.65E-07
-0.4705,-0.000312449,-6.65E-07
-0.47025,-0.000312449,-6.65E-07
-0.47,-0.000312449,-6.65E-07
-0.46975,-0.000312449,-6.65E-07
-0.4695,-0.000312449,-6.65E-07
-0.46925,-0.000312449,-6.65E-07
-0.469,-0.000312449,-6.65E-07
-0.46875,-0.000312449,-6.65E-07
-0.4685,-0.000312449,-6.65E-07
-0.46825,-0.000312449,-6.65E-07
-0.468,-0.000312449,-6.65E-07
-0.46775,-0.000312449,-6.65E-07
-0.4675,-0.000312449,-6.65E-07
-0.46725,-0.000312449,-6.65E-07
-0.467,-0.000312449,-6.65E-07
-0.46675,-0.000312449,-6.65E-07
-0.4665,-0.000312449,-6.65E-07
-0.46625,-0.000312449,-6.65E-07
-0.466,-0.000312449,-6.65E-07
-0.46575,-0.000312449,-6.65E-07
-0.4655,-0.000312449,-6.65E-07
-0.46525,-0.000312449,-6.65E-07
-0.465,-0.000312449,-6.65E-07
-0.46475,-0.000312449,-6.65E-07
-0.4645,-0.000312449,-6.65E-07
-0.46425,-0.000312449,-6.65E-07
-0.464,-0.000312449,-6.65E-07
-0.46375,-0.000312449,-6.65E-07
-0.4635,-0.000312449,-6.65E-07
-0.46325,-0.000312449,-6.65E-07
-0.463,-0.000312449,-6.65E-07
-0.46275,-0.000312449,-6.65E-07
-0.4625,-0.000312449,-6.65E-07
-0.46225,-0.000312449,-6.65E-07
-0.462,-0.000312449,-6.65E-07
-0.46175,-0.000312449,-6.65E-07
-0.4615,-0.000312449,-6.65E-07
-0.46125,-0.000312449,-6.65E-07
-0.461,-0.000312449,-6.65E-07
-0.46075,-0.000312449,-6.65E-07
-0.4605,-0.000312449,-6.65E-07
-0.46025,-0.000312449,-6.65E-07
-0.46,-0.000312449,-6.65E-07
-0.45975,-0.000312449,-6.65E-07
-0.4595,-0.000312449,-6.65E-07
-0.45925,-0.000312449,-6.65E-07
-0.459,-0.000312449,-6.65E-07
-0.45875,-0.000312449,-6.65E-07
-0.4585,-0.000312449,-6.65E-07
-0.45825,-0.000312449,-6.65E-07
-0.458,-0.000312449,-6.65E-07
-0.45775,-0.000312449,-6.65E-07
-0.4575,-0.000312449,-6.65E-07
-0.45725,-0.000312449,-6.65E-07
-0.457,-0.000312449,-6.65E-07
-0.45675,-0.000312449,-6.65E-07
-0.4565,-0.000312449,-6.65E-07
-0.45625,-0.000312449,-6.65E-07
-0.456,-0.000312449,-6.65E-07
-0.45575,-0.000312449,-6.65E-07
-0.4555,-0.000312449,-6.65E-07
-0.45525,-0.000312449,-6.65E-07
-0.455,-0.000312449,-6.65E-07
-0.45475,-0.000312449,-6.65E-07
-0.4545,-0.000312449,-6.65E-07
-0.45425,-0.000312449,-6.65E-07
-0.454,-0.000312449,-6.65E-07
-0.45375,-0.000312449,-6.65E-07
-0.4535,-0.000312449,-6.65E-07
-0.45325,-0.000312449,-6.65E-07
-0.453,-0.000312449,-6.65E-07
-0.45275,-0.000312449,-6.65E-07
-0.4525,-0.000312449,-6.65E-07
-0.45225,-0.000312449,-6.65E-07
-0.452,-0.000312449,-6.65E-07
-0.45175,-0.000312449,-6.65E-07
-0.4515,-0.000312449,-6.65E-07
-0.45125,-0.000312449,-6.65E-07
-0.451,-0.000312449,-6.65E-07
-0.45075,-0.000312449,-6.65E-07
-0.4505,-0.000312449,-6.65E-07
-0.45025,-0.000312449,-6.65E-07
-0.45,-0.000312449,-6.65E-07
-0.44975,-0.000312449,-6.65E-07
-0.4495,-0.000312449,-6.65E-07
-0.44925,-0.000312449,-6.65E-07
-0.449,-0.000312449,-6.65E-07
-0.44875,-0.000312449,-6.65E-07
-0.4485,-0.000312449,-6.65E-07
-0.44825,-0.000312449,-6.65E-07
-0.448,-0.000312449,-6.65E-07
-0.44775,-0.000312449,-6.65E-07
-0.4475,-0.000312449,-6.65E-07
-0.44725,-0.000312449,-6.65E-07
-0.447,-0.000312449,-6.65E-07
-0.44675,-0.000312449,-6.65E-07
-0.4465,-0.000312449,-6.65E-07
-0.44625,-0.000312449,-6.65E-07
-0.446,-0.000312449,-6.65E-07
-0.44575,-0.000312449,-6.65E-07
-0.4455,-0.000312449,-6.65E-07
-0.44525,-0.000312449,-6.65E-07
-0.445,-0.000312449,-6.65E-07
-0.44475,-0.000312449,-6.65E-07
-0.4445,-0.000312449,-6.65E-07
-0.44425,-0.000312449,-6.65E-07
-0.444,-0.000312449,-6.65E-07
-0.44375,-0.000312449,-6.65E-07
-0.4435,-0.000312449,-6.65E-07
-0.44325,-0.000312449,-6.65E-07
-0.443,-0.000312449,-6.65E-07
-0.44275,-0.000312449,-6.65E-07
-0.4425,-0.000312449,-6.65E-07
-0.44225,-0.000312449,-6.65E-07
-0.442,-0.000312449,-6.65E-07
-0.44175,-0.000312449,-6.65E-07
-0.4415,-0.000312449,-6.65E-07
-0.44125,-0.000312449,-6.65E-07
-0.441,-0.000312449,-6.65E-07
-0.44075,-0.000312449,-6.65E-07
-0.4405,-0.000312449,-6.65E-07
-0.44025,-0.000312449,-6.65E-07
-0.44,-0.000312449,-6.65E-07
-0.43975,-0.000312449,-6.65E-07
-0.4395,-0.000312449,-6.65E-07
-0.43925,-0.000312449,-6.65E-07
-0.439,-0.000312449,-6.65E-07
-0.43875,-0.000312449,-6.65E-07
-0.4385,-0.000312449,-6.65E-07
-0.43825,-0.000312449,-6.65E-07
-0.438,-0.000312449,-6.65E-07
-0.43775,-0.000312449,-6.65E-07
-0.4375,-0.000312449,-6.65E-07
-0.43725,-0.000312449,-6.65E-07
-0.437,-0.000312449,-6.65E-07
-0.43675,-0.000312449,-6.65E-07
-0.4365,-0.000312449,-6.65E-07
-0.43625,-0.000312449,-6.65E-07
-0.436,-0.000312449,-6.65E-07
-0.43575,-0.000312449,-6.65E-07
-0.4355,-0.000312449,-6.65E-07
-0.43525,-0.000312449,-6.65E-07
-0.435,-0.000312449,-6.65E-07
-0.43475,-0.000312449,-6.65E-07
-0.4345,-0.000312449,-6.65E-07
-0.43425,-0.000312449,-6.65E-07
-0.434,-0.000312449,-6.65E-07
-0.43375,-0.000312449,-6.65E-07
-0.4335,-0.000312449,-6.65E-07
-0.43325,-0.000312449,-6.65E-07
-0.433,-0.000312449,-6.65E-07
-0.43275,-0.000312449,-6.65E-07
-0.4325,-0.000312449,-6.65E-07
-0.43225,-0.000312449,-6.65E-07
-0.432,-0.000312449,-6.65E-07
-0.43175,-0.000312449,-6.65E-07
-0.4315,-0.000312449,-6.65E-07
-0.43125,-0.000312449,-6.65E-07
-0.431,2.36E-05,5.03E-08
-0.43075,-0.000312449,-6.65E-07
-0.4305,-0.000312449,-6.65E-07
-0.43025,-0.000312449,-6.65E-07
-0.43,-0.000312449,-6.65E-07
-0.42975,-0.000312449,-6.65E-07
-0.4295,-0.000312449,-6.65E-07
-0.42925,-0.000312449,-6.65E-07
-0.429,-0.000312449,-6.65E-07
-0.42875,-0.000312449,-6.65E-07
-0.4285,-0.000312449,-6.65E-07
-0.42825,-0.000312449,-6.65E-07
-0.428,-0.000312449,-6.65E-07
-0.42775,-0.000312449,-6.65E-07
-0.4275,-0.000312449,-6.65E-07
-0.42725,-0.000312449,-6.65E-07
-0.427,-0.000312449,-6.65E-07
-0.42675,-0.000312449,-6.65E-07
-0.4265,-0.000312449,-6.65E-07
-0.42625,-0.000312449,-6.65E-07
-0.426,-0.000312449,-6.65E-07
-0.42575,-0.000312449,-6.65E-07
-0.4255,-0.000312449,-6.65E-07
-0.42525,-0.000312449,-6.65E-07
-0.425,-0.000312449,-6.65E-07
-0.42475,-0.000312449,-6.65E-07
-0.4245,-0.000312449,-6.65E-07
-0.42425,-0.000312449,-6.65E-07
-0.424,-0.000312449,-6.65E-07
-0.42375,-0.000312449,-6.65E-07
-0.4235,-0.000312449,-6.65E-07
-0.42325,-0.000312449,-6.65E-07
-0.423,-0.000312449,-6.65E-07
-0.42275,-0.000312449,-6.65E-07
-0.4225,-0.000312449,-6.65E-07
-0.42225,-0.000312449,-6.65E-07
-0.422,-0.000312449,-6.65E-07
-0.42175,-0.000312449,-6.65E-07
-0.4215,-0.000312449,-6.65E-07
-0.42125,-0.000312449,-6.65E-07
-0.421,-0.000312449,-6.65E-07
-0.42075,-0.000312449,-6.65E-07
-0.4205,-0.000312449,-6.65E-07
-0.42025,-0.000312449,-6.65E-07
-0.42,-0.000312449,-6.65E-07
-0.41975,-0.000312449,-6.65E-07
-0.4195,-0.000312449,-6.65E-07
-0.41925,-0.000312449,-6.65E-07
-0.419,-0.000312449,-6.65E-07
-0.41875,-0.000312449,-6.65E-07
-0.4185,-0.000312449,-6.65E-07
-0.41825,-0.000312449,-6.65E-07
-0.418,-0.000312449,-6.65E-07
-0.41775,-0.000312449,-6.65E-07
-0.4175,-0.000312449,-6.65E-07
-0.41725,-0.000312449,-6.65E-07
-0.417,-0.000312449,-6.65E-07
-0.41675,-0.000312449,-6.65E-07
-0.4165,-0.000312449,-6.65E-07
-0.41625,-0.000312449,-6.65E-07
-0.416,2.36E-05,5.03E-08
-0.41575,-0.000312449,-6.65E-07
-0.4155,-0.000312449,-6.65E-07
